Total nodes: 30   Frontiers: 6   Edges: 29
Nodes degrees
   [476,270]    5
   [430,167]    3
   [497,291]    3
   [430,187]    3
   [469,251]    2
   [483,277]    2
   [421,131]    2
   [430,147]    2
   [475,269]    2
   [438,214]    2
   [448,230]    2
   [433,196]    2
   [462,244]    2
   [470,261]    2
   [430,177]    2
   [430,157]    2
   [441,223]    2
   [407,117]    2
   [414,124]    2
   [490,284]    2
   [455,237]    2
   [428,138]    2
   [438,204]    2
   (668,363)    1
   (278,326)    1
   [400,110]    1
   (317,395)    1
   (318,75)    1
   (449,482)    1
   (222,158)    1
Max: 5   Min: 1   Avg: 1

Closeness centrality:
   [438,214]    1
   [441,223]    1
   [448,230]    0,991
   [438,204]    0,991
   [433,196]    0,974
   [455,237]    0,973
   [430,187]    0,949
   [462,244]    0,947
   [469,251]    0,914
   [430,177]    0,907
   [470,261]    0,874
   [430,167]    0,861
   [475,269]    0,832
   [476,270]    0,825
   [430,157]    0,803
   [483,277]    0,759
   [430,147]    0,745
   [490,284]    0,693
   [428,138]    0,69
   [421,131]    0,632
   [497,291]    0,63
   [414,124]    0,575
   [407,117]    0,52
   [400,110]    0,467
   (318,75)    0,125
   (222,158)    0,048
   (317,395)    0,031
   (278,326)    0,021
   (668,363)    0,011
   (449,482)    0

Betweenness centrality:
   [438,214]    1
   [441,223]    1
   [448,230]    0,99
   [438,204]    0,99
   [430,187]    0,99
   [433,196]    0,971
   [455,237]    0,971
   [462,244]    0,943
   [469,251]    0,905
   [470,261]    0,857
   [430,177]    0,857
   [430,167]    0,833
   [475,269]    0,8
   [476,270]    0,786
   [430,157]    0,657
   [430,147]    0,571
   [483,277]    0,476
   [428,138]    0,476
   [421,131]    0,371
   [490,284]    0,371
   [497,291]    0,262
   [414,124]    0,257
   [407,117]    0,133
   (668,363)    0
   (278,326)    0
   [400,110]    0
   (317,395)    0
   (318,75)    0
   (449,482)    0
   (222,158)    0
