Total nodes: 67   Frontiers: 6   Edges: 72
Nodes degrees
   [476,270]    15
   [486,270]    4
   [439,239]    3
   [433,201]    3
   [450,278]    3
   [455,270]    3
   [456,270]    3
   [447,266]    3
   [439,249]    2
   [420,147]    2
   [439,209]    2
   [420,177]    2
   [497,291]    2
   [397,117]    2
   [493,287]    2
   [490,284]    2
   [418,138]    2
   [503,282]    2
   [486,280]    2
   [494,278]    2
   [504,278]    2
   [493,277]    2
   [483,277]    2
   [496,275]    2
   [485,274]    2
   [495,274]    2
   [420,167]    2
   [479,273]    2
   [459,274]    2
   [457,271]    2
   [411,131]    2
   [497,271]    2
   [496,270]    2
   [488,270]    2
   [487,270]    2
   [452,269]    2
   [465,270]    2
   [475,270]    2
   [468,270]    2
   [467,270]    2
   [471,270]    2
   [478,270]    2
   [472,270]    2
   [466,270]    2
   [477,270]    2
   [461,270]    2
   [462,270]    2
   [447,265]    2
   [470,268]    2
   [439,229]    2
   [461,265]    2
   [426,194]    2
   [440,258]    2
   [420,157]    2
   [404,124]    2
   [439,219]    2
   [420,187]    2
   (447,489)    1
   (315,363)    1
   (271,354)    1
   (218,163)    1
   [446,270]    1
   [506,270]    1
   [451,270]    1
   (670,363)    1
   [390,110]    1
   (316,75)    1
Max: 15   Min: 1   Avg: 2

Closeness centrality:
   [476,270]    1
   [475,270]    0,996
   [477,270]    0,984
   [478,270]    0,968
   [465,270]    0,953
   [472,270]    0,937
   [479,273]    0,934
   [471,270]    0,923
   [455,270]    0,917
   [470,268]    0,903
   [468,270]    0,884
   [466,270]    0,873
   [467,270]    0,871
   [486,270]    0,871
   [447,265]    0,864
   [483,277]    0,86
   [485,274]    0,857
   [487,270]    0,842
   [456,270]    0,842
   [488,270]    0,83
   [440,258]    0,81
   [447,266]    0,809
   [462,270]    0,803
   [486,280]    0,803
   [461,270]    0,79
   [461,265]    0,783
   [459,274]    0,768
   [439,249]    0,761
   [457,271]    0,755
   [495,274]    0,754
   [493,277]    0,752
   [496,270]    0,749
   [490,284]    0,745
   [494,278]    0,743
   [497,271]    0,73
   [496,275]    0,726
   [446,270]    0,723
   [439,239]    0,709
   [493,287]    0,707
   [452,269]    0,697
   [451,270]    0,682
   [450,278]    0,674
   [504,278]    0,66
   [439,229]    0,657
   [503,282]    0,651
   [497,291]    0,649
   [506,270]    0,649
   [439,219]    0,608
   [439,209]    0,561
   [433,201]    0,518
   [426,194]    0,476
   [420,187]    0,439
   [420,177]    0,402
   [420,167]    0,367
   [420,157]    0,335
   [420,147]    0,305
   [418,138]    0,279
   [411,131]    0,253
   [404,124]    0,229
   [397,117]    0,206
   [390,110]    0,185
   (315,363)    0,066
   (271,354)    0,045
   (447,489)    0,041
   (316,75)    0,036
   (670,363)    0,027
   (218,163)    0

Betweenness centrality:
   [476,270]    1
   [455,270]    0,571
   [447,265]    0,552
   [440,258]    0,536
   [475,270]    0,525
   [439,249]    0,519
   [465,270]    0,516
   [439,239]    0,51
   [439,229]    0,459
   [439,219]    0,437
   [439,209]    0,414
   [433,201]    0,396
   [426,194]    0,336
   [420,187]    0,308
   [420,177]    0,279
   [420,167]    0,248
   [420,157]    0,216
   [486,270]    0,184
   [420,147]    0,183
   [418,138]    0,149
   [483,277]    0,113
   [411,131]    0,113
   [468,270]    0,11
   [456,270]    0,099
   [466,270]    0,092
   [447,266]    0,08
   [490,284]    0,077
   [471,270]    0,077
   [404,124]    0,077
   [472,270]    0,075
   [459,274]    0,074
   [485,274]    0,074
   [478,270]    0,074
   [479,273]    0,073
   [477,270]    0,072
   [450,278]    0,04
   [495,274]    0,04
   [497,291]    0,039
   [397,117]    0,039
   [496,270]    0,039
   [461,270]    0,039
   [494,278]    0,038
   [488,270]    0,038
   [462,270]    0,038
   [470,268]    0,038
   [467,270]    0,037
   [487,270]    0,036
   [486,280]    0,035
   [504,278]    0,004
   [493,277]    0,003
   [503,282]    0,002
   [496,275]    0,002
   [497,271]    0,002
   [457,271]    0,001
   [493,287]    0,001
   [452,269]    0,001
   [461,265]    0,001
   (447,489)    0
   (315,363)    0
   (271,354)    0
   (218,163)    0
   [446,270]    0
   [506,270]    0
   [451,270]    0
   (670,363)    0
   [390,110]    0
   (316,75)    0
