Total nodes: 68   Frontiers: 7   Edges: 73
Nodes degrees
   [476,270]    13
   [446,270]    4
   [439,192]    4
   [500,284]    3
   [496,270]    3
   [497,270]    3
   [486,270]    3
   [473,267]    3
   [466,260]    3
   [462,251]    2
   [439,152]    2
   [439,182]    2
   [456,215]    2
   [490,247]    2
   [480,299]    2
   [488,297]    2
   [449,208]    2
   [476,290]    2
   [439,142]    2
   [497,240]    2
   [476,291]    2
   [481,290]    2
   [427,117]    2
   [484,288]    2
   [439,172]    2
   [490,284]    2
   [476,281]    2
   [476,282]    2
   [442,201]    2
   [480,279]    2
   [476,280]    2
   [483,277]    2
   [493,277]    2
   [504,233]    2
   [505,274]    2
   [476,271]    2
   [465,271]    2
   [476,272]    2
   [439,132]    2
   [487,270]    2
   [475,270]    2
   [477,270]    2
   [466,270]    2
   [456,270]    2
   [439,162]    2
   [477,267]    2
   [474,268]    2
   [505,266]    2
   [501,226]    2
   [511,226]    2
   [481,226]    2
   [491,226]    2
   [471,226]    2
   [479,262]    2
   [469,258]    2
   [463,222]    2
   [483,254]    2
   [434,124]    2
   [497,291]    1
   (447,490)    1
   (677,355)    1
   (270,334)    1
   (302,391)    1
   [420,110]    1
   (604,436)    1
   (319,75)    1
   [459,253]    1
   (235,157)    1
Max: 13   Min: 1   Avg: 2

Closeness centrality:
   [476,270]    1
   [477,270]    0,986
   [476,271]    0,986
   [475,270]    0,985
   [476,272]    0,972
   [479,262]    0,968
   [477,267]    0,954
   [473,267]    0,944
   [483,254]    0,933
   [474,268]    0,911
   [490,247]    0,892
   [486,270]    0,888
   [466,270]    0,88
   [480,279]    0,87
   [483,277]    0,869
   [476,280]    0,868
   [487,270]    0,861
   [476,281]    0,857
   [497,240]    0,85
   [465,271]    0,85
   [476,282]    0,846
   [466,260]    0,824
   [469,258]    0,821
   [504,233]    0,808
   [493,277]    0,781
   [496,270]    0,78
   [456,270]    0,777
   [511,226]    0,766
   [484,288]    0,764
   [476,290]    0,761
   [497,270]    0,76
   [490,284]    0,759
   [476,291]    0,752
   [481,290]    0,748
   [501,226]    0,723
   [462,251]    0,723
   [459,253]    0,719
   [505,274]    0,69
   [505,266]    0,69
   [500,284]    0,689
   [446,270]    0,687
   [491,226]    0,681
   [488,297]    0,676
   [480,299]    0,673
   [497,291]    0,666
   [481,226]    0,64
   [471,226]    0,6
   [463,222]    0,565
   [456,215]    0,527
   [449,208]    0,491
   [442,201]    0,457
   [439,192]    0,425
   [439,182]    0,39
   [439,172]    0,358
   [439,162]    0,327
   [439,152]    0,298
   [439,142]    0,271
   [439,132]    0,245
   [434,124]    0,222
   [427,117]    0,2
   [420,110]    0,179
   (604,436)    0,049
   (302,391)    0,041
   (319,75)    0,037
   (270,334)    0,035
   (447,490)    0,028
   (677,355)    0,008
   (235,157)    0

Betweenness centrality:
   [476,270]    1
   [479,262]    0,588
   [483,254]    0,578
   [490,247]    0,567
   [497,240]    0,554
   [504,233]    0,541
   [511,226]    0,526
   [501,226]    0,511
   [491,226]    0,494
   [481,226]    0,476
   [471,226]    0,457
   [463,222]    0,437
   [456,215]    0,415
   [449,208]    0,393
   [442,201]    0,37
   [439,192]    0,356
   [439,182]    0,264
   [486,270]    0,237
   [439,172]    0,235
   [439,162]    0,205
   [439,152]    0,174
   [466,270]    0,174
   [473,267]    0,142
   [439,142]    0,141
   [456,270]    0,141
   [446,270]    0,109
   [493,277]    0,108
   [439,132]    0,108
   [500,284]    0,073
   [483,277]    0,073
   [434,124]    0,073
   [496,270]    0,072
   [480,279]    0,07
   [476,280]    0,07
   [476,271]    0,07
   [476,272]    0,07
   [477,270]    0,067
   [466,260]    0,056
   [427,117]    0,037
   [490,284]    0,037
   [477,267]    0,036
   [476,290]    0,036
   [484,288]    0,036
   [476,281]    0,036
   [476,282]    0,036
   [475,270]    0,036
   [487,270]    0,034
   [469,258]    0,017
   [497,270]    0,003
   [505,274]    0,003
   [480,299]    0,002
   [488,297]    0,002
   [476,291]    0,002
   [481,290]    0,002
   [505,266]    0,001
   [462,251]    0,001
   [474,268]    0,001
   [497,291]    0
   (447,490)    0
   (677,355)    0
   [465,271]    0
   (270,334)    0
   (302,391)    0
   [420,110]    0
   (604,436)    0
   (319,75)    0
   [459,253]    0
   (235,157)    0
