Total nodes: 45   Frontiers: 17   Edges: 127
Nodes degrees
   (624,429)    26
   (534,89)    26
   [582,103]    18
   [592,103]    11
   [600,108]    10
   (536,243)    10
   (486,88)    9
   (273,153)    9
   [607,115]    8
   [644,127]    7
   [635,129]    7
   [621,129]    7
   [614,122]    7
   [628,136]    7
   [652,123]    5
   [665,124]    4
   [640,125]    4
   [649,125]    4
   [654,117]    4
   [658,117]    4
   [670,117]    4
   [660,117]    4
   [690,117]    4
   [680,117]    4
   [633,118]    4
   [706,126]    4
   (325,198)    4
   [699,119]    4
   [674,128]    4
   [684,128]    4
   [694,128]    4
   [704,128]    4
   (256,185)    3
   (326,253)    3
   [626,111]    2
   (424,94)    2
   (553,61)    1
   (241,268)    1
   (207,162)    1
   [617,109]    1
   (376,250)    1
   (390,111)    1
   (439,240)    1
   (275,255)    1
   (326,139)    1
Max: 26   Min: 1   Avg: 5

Closeness centrality:
   [628,136]    1
   [635,129]    0,999
   [621,129]    0,995
   [644,127]    0,994
   [614,122]    0,986
   [652,123]    0,984
   [607,115]    0,976
   [660,117]    0,971
   [600,108]    0,967
   [670,117]    0,954
   [592,103]    0,953
   [582,103]    0,938
   [680,117]    0,935
   [690,117]    0,914
   [699,119]    0,893
   [706,126]    0,868
   [704,128]    0,862
   [694,128]    0,838
   [684,128]    0,813
   [674,128]    0,786
   (534,89)    0,779
   (273,153)    0,779
   [665,124]    0,759
   [658,117]    0,733
   [654,117]    0,729
   [649,125]    0,721
   [640,125]    0,715
   [633,118]    0,711
   [626,111]    0,673
   [617,109]    0,638
   (553,61)    0,59
   (486,88)    0,512
   (424,94)    0,369
   (390,111)    0,314
   (536,243)    0,258
   (624,429)    0,207
   (325,198)    0,125
   (439,240)    0,114
   (256,185)    0,075
   (326,139)    0,074
   (376,250)    0,074
   (326,253)    0,06
   (207,162)    0,031
   (275,255)    0,017
   (241,268)    0

Betweenness centrality:
   [582,103]    1
   [644,127]    0,945
   [600,108]    0,937
   [652,123]    0,926
   [660,117]    0,902
   [670,117]    0,872
   [607,115]    0,87
   [680,117]    0,838
   [628,136]    0,824
   [621,129]    0,808
   [690,117]    0,797
   [614,122]    0,792
   [592,103]    0,773
   [635,129]    0,77
   [699,119]    0,752
   [706,126]    0,703
   [704,128]    0,655
   [694,128]    0,604
   [684,128]    0,548
   [674,128]    0,479
   [665,124]    0,405
   [658,117]    0,357
   [654,117]    0,33
   [633,118]    0,31
   [649,125]    0,306
   [640,125]    0,29
   (534,89)    0,263
   [626,111]    0,115
   (553,61)    0
   (241,268)    0
   (207,162)    0
   (256,185)    0
   [617,109]    0
   (376,250)    0
   (486,88)    0
   (325,198)    0
   (624,429)    0
   (536,243)    0
   (424,94)    0
   (390,111)    0
   (439,240)    0
   (326,253)    0
   (273,153)    0
   (275,255)    0
   (326,139)    0
