Total nodes: 43   Frontiers: 15   Edges: 160
Nodes degrees
   (490,277)    26
   (633,412)    26
   [498,188]    16
   [505,181]    14
   (464,194)    13
   [523,187]    12
   [515,192]    12
   [510,179]    12
   [510,189]    12
   (328,125)    11
   [542,186]    10
   [532,186]    10
   [550,182]    10
   (292,108)    10
   (359,92)    10
   (419,85)    9
   (517,81)    9
   [557,175]    8
   (374,141)    6
   [558,182]    6
   (414,155)    6
   [558,192]    5
   [565,199]    5
   [570,174]    4
   [612,142]    4
   [566,192]    4
   [612,162]    4
   [612,132]    4
   [566,182]    4
   [611,122]    4
   [607,167]    4
   [597,167]    4
   [587,167]    4
   [577,167]    4
   [604,115]    4
   [612,152]    4
   [603,113]    2
   (415,189)    2
   (375,189)    2
   [611,117]    1
   (315,151)    1
   (461,145)    1
   (324,187)    1
Max: 26   Min: 1   Avg: 7

Closeness centrality:
   [557,175]    1
   [558,182]    0,994
   [550,182]    0,989
   [558,192]    0,98
   [542,186]    0,967
   [565,199]    0,965
   [566,192]    0,951
   [532,186]    0,94
   [566,182]    0,929
   [523,187]    0,912
   [570,174]    0,906
   [515,192]    0,879
   [577,167]    0,877
   [510,189]    0,852
   [587,167]    0,846
   (414,155)    0,833
   [510,179]    0,827
   [597,167]    0,812
   [505,181]    0,804
   [607,167]    0,776
   [498,188]    0,759
   [612,162]    0,748
   [612,152]    0,707
   [612,142]    0,666
   (461,145)    0,66
   (464,194)    0,631
   [612,132]    0,626
   [611,122]    0,587
   [604,115]    0,549
   [603,113]    0,541
   [611,117]    0,507
   (415,189)    0,391
   (375,189)    0,298
   (374,141)    0,289
   (490,277)    0,2
   (324,187)    0,185
   (315,151)    0,185
   (517,81)    0,151
   (633,412)    0,14
   (419,85)    0,073
   (359,92)    0,037
   (328,125)    0,019
   (292,108)    0

Betweenness centrality:
   [557,175]    1
   [550,182]    0,959
   [558,182]    0,951
   [558,192]    0,934
   [565,199]    0,917
   [566,192]    0,895
   [566,182]    0,869
   [570,174]    0,837
   [542,186]    0,813
   [577,167]    0,8
   [532,186]    0,781
   [587,167]    0,759
   [523,187]    0,745
   [597,167]    0,679
   [607,167]    0,625
   [612,162]    0,584
   [510,179]    0,577
   [515,192]    0,569
   [612,152]    0,52
   [510,189]    0,506
   [505,181]    0,501
   [612,142]    0,447
   [612,132]    0,37
   [498,188]    0,309
   [611,122]    0,285
   [604,115]    0,195
   [603,113]    0,1
   (490,277)    0
   [611,117]    0
   (315,151)    0
   (461,145)    0
   (464,194)    0
   (374,141)    0
   (419,85)    0
   (324,187)    0
   (414,155)    0
   (517,81)    0
   (415,189)    0
   (292,108)    0
   (375,189)    0
   (328,125)    0
   (633,412)    0
   (359,92)    0
