Total nodes: 42   Frontiers: 14   Edges: 42
Nodes degrees
   [528,264]    12
   [527,234]    4
   [535,242]    3
   [530,231]    3
   [548,236]    2
   [523,187]    2
   [528,254]    2
   [500,231]    2
   [510,231]    2
   [480,231]    2
   [490,231]    2
   [522,207]    2
   [470,230]    2
   [545,242]    2
   [507,228]    2
   [497,228]    2
   [555,243]    2
   [487,228]    2
   [477,228]    2
   [522,227]    2
   [528,244]    2
   [517,228]    2
   [522,197]    2
   [520,231]    2
   [540,231]    2
   (366,252)    2
   [522,217]    2
   [528,235]    2
   (373,216)    1
   (565,348)    1
   (440,373)    1
   (414,246)    1
   (589,424)    1
   (465,330)    1
   (332,359)    1
   [530,180]    1
   (265,263)    1
   (565,404)    1
   (456,390)    1
   (213,296)    1
   (470,415)    1
   (561,277)    1
Max: 12   Min: 1   Avg: 2

Closeness centrality:
   [545,242]    1
   [555,243]    1
   [548,236]    0,995
   [535,242]    0,995
   [540,231]    0,985
   [528,235]    0,979
   [530,231]    0,97
   (366,252)    0,97
   [527,234]    0,97
   [520,231]    0,961
   [510,231]    0,937
   [528,244]    0,935
   [500,231]    0,908
   [528,254]    0,898
   [490,231]    0,877
   (373,216)    0,858
   [528,264]    0,858
   (265,263)    0,858
   [480,231]    0,843
   [470,230]    0,807
   [477,228]    0,78
   [487,228]    0,741
   [497,228]    0,701
   [507,228]    0,662
   (561,277)    0,63
   [517,228]    0,622
   [522,227]    0,602
   [522,217]    0,563
   [522,207]    0,524
   [522,197]    0,487
   (465,330)    0,464
   [523,187]    0,451
   [530,180]    0,417
   (565,348)    0,336
   (440,373)    0,27
   (456,390)    0,208
   (470,415)    0,191
   (414,246)    0,19
   (565,404)    0,16
   (589,424)    0,122
   (332,359)    0,113
   (213,296)    0

Betweenness centrality:
   [535,242]    1
   [545,242]    0,963
   [555,243]    0,963
   [548,236]    0,959
   [540,231]    0,95
   [530,231]    0,936
   [528,235]    0,936
   [527,234]    0,927
   [520,231]    0,917
   (366,252)    0,917
   [510,231]    0,894
   [528,264]    0,883
   [500,231]    0,867
   [490,231]    0,835
   [528,244]    0,835
   [528,254]    0,798
   [480,231]    0,798
   [470,230]    0,757
   [477,228]    0,711
   [487,228]    0,661
   [497,228]    0,606
   [507,228]    0,546
   [517,228]    0,482
   [522,227]    0,413
   [522,217]    0,339
   [522,207]    0,261
   [522,197]    0,179
   [523,187]    0,092
   (373,216)    0
   (565,348)    0
   (440,373)    0
   (414,246)    0
   (589,424)    0
   (465,330)    0
   (332,359)    0
   [530,180]    0
   (265,263)    0
   (565,404)    0
   (456,390)    0
   (213,296)    0
   (470,415)    0
   (561,277)    0
