Total nodes: 38   Frontiers: 10   Edges: 39
Nodes degrees
   [538,328]    8
   [531,321]    4
   [538,318]    3
   (595,387)    3
   [528,294]    3
   [538,308]    3
   [527,313]    3
   [524,203]    2
   [533,187]    2
   [524,253]    2
   [556,287]    2
   [566,287]    2
   [538,288]    2
   [536,288]    2
   [576,287]    2
   [546,288]    2
   [524,223]    2
   [576,291]    2
   [524,243]    2
   [524,263]    2
   [526,194]    2
   [538,298]    2
   [524,213]    2
   [527,303]    2
   [525,273]    2
   [524,233]    2
   [532,280]    2
   (633,315)    1
   (481,407)    1
   (368,312)    1
   [568,295]    1
   (596,426)    1
   (450,426)    1
   (564,400)    1
   (437,362)    1
   [540,180]    1
   (456,390)    1
   (612,376)    1
Max: 8   Min: 1   Avg: 2

Closeness centrality:
   [538,328]    1
   [538,318]    0,979
   [531,321]    0,967
   [538,308]    0,95
   [527,313]    0,917
   [538,298]    0,911
   [538,288]    0,868
   [527,303]    0,852
   [532,280]    0,82
   [528,294]    0,793
   [525,273]    0,77
   [536,288]    0,722
   [524,263]    0,718
   [524,253]    0,666
   [546,288]    0,655
   [524,243]    0,614
   [556,287]    0,59
   [524,233]    0,563
   [566,287]    0,53
   [524,223]    0,513
   (437,362)    0,489
   [576,287]    0,473
   [524,213]    0,464
   [576,291]    0,451
   [524,203]    0,418
   [568,295]    0,403
   [526,194]    0,377
   (595,387)    0,342
   [533,187]    0,335
   (564,400)    0,332
   [540,180]    0,295
   (456,390)    0,233
   (612,376)    0,204
   (596,426)    0,197
   (481,407)    0,19
   (633,315)    0,169
   (450,426)    0,136
   (368,312)    0

Betweenness centrality:
   [538,328]    1
   [531,321]    0,816
   [538,308]    0,758
   [538,318]    0,741
   [538,298]    0,734
   [538,288]    0,706
   [527,313]    0,696
   [532,280]    0,673
   [525,273]    0,635
   [524,263]    0,593
   [527,303]    0,593
   [528,294]    0,562
   [524,253]    0,546
   [524,243]    0,494
   [536,288]    0,438
   [524,233]    0,438
   [546,288]    0,376
   [524,223]    0,376
   [556,287]    0,311
   [524,213]    0,311
   [524,203]    0,24
   [566,287]    0,24
   [576,287]    0,165
   [526,194]    0,165
   [533,187]    0,085
   [576,291]    0,085
   (633,315)    0
   (481,407)    0
   (368,312)    0
   (595,387)    0
   [568,295]    0
   (596,426)    0
   (450,426)    0
   (564,400)    0
   (437,362)    0
   [540,180]    0
   (456,390)    0
   (612,376)    0
