Total nodes: 41   Frontiers: 13   Edges: 40
Nodes degrees
   [456,336]    10
   [422,323]    4
   [437,332]    3
   [447,332]    3
   [465,251]    2
   [540,203]    2
   [530,203]    2
   [422,313]    2
   [563,187]    2
   [507,231]    2
   [497,231]    2
   [487,231]    2
   [422,303]    2
   [444,272]    2
   [522,208]    2
   [472,244]    2
   [451,265]    2
   [556,194]    2
   [426,295]    2
   [428,329]    2
   [458,258]    2
   [515,215]    2
   [508,222]    2
   [433,288]    2
   [549,201]    2
   [479,237]    2
   [440,281]    2
   (580,281)    1
   (633,314)    1
   (477,404)    1
   (584,293)    1
   (567,392)    1
   (469,366)    1
   (575,361)    1
   [570,180]    1
   (265,263)    1
   (331,361)    1
   (650,336)    1
   (458,388)    1
   (365,252)    1
   (215,296)    1
Max: 10   Min: 1   Avg: 1

Closeness centrality:
   [426,295]    1
   [422,303]    0,997
   [433,288]    0,997
   [422,313]    0,988
   [440,281]    0,988
   [444,272]    0,974
   [422,323]    0,974
   [451,265]    0,954
   [428,329]    0,947
   [458,258]    0,929
   [437,332]    0,913
   [465,251]    0,9
   [447,332]    0,869
   [472,244]    0,867
   [479,237]    0,831
   [456,336]    0,819
   [487,231]    0,792
   [497,231]    0,751
   [507,231]    0,709
   [508,222]    0,67
   (458,388)    0,629
   [515,215]    0,626
   (469,366)    0,595
   [522,208]    0,583
   [530,203]    0,543
   [540,203]    0,5
   [549,201]    0,462
   [556,194]    0,421
   [563,187]    0,382
   (365,252)    0,371
   (477,404)    0,368
   [570,180]    0,345
   (331,361)    0,315
   (575,361)    0,205
   (584,293)    0,155
   (580,281)    0,153
   (567,392)    0,127
   (633,314)    0,087
   (650,336)    0,074
   (265,263)    0,043
   (215,296)    0

Betweenness centrality:
   [422,323]    1
   [426,295]    0,948
   [422,303]    0,945
   [433,288]    0,945
   [422,313]    0,938
   [440,281]    0,938
   [444,272]    0,927
   [451,265]    0,91
   [458,258]    0,889
   [465,251]    0,863
   [428,329]    0,863
   [437,332]    0,86
   [472,244]    0,832
   [479,237]    0,796
   [447,332]    0,78
   [487,231]    0,756
   [456,336]    0,746
   [497,231]    0,711
   [507,231]    0,661
   [508,222]    0,607
   [515,215]    0,547
   [522,208]    0,483
   [530,203]    0,415
   [540,203]    0,341
   [549,201]    0,263
   [556,194]    0,18
   [563,187]    0,092
   (580,281)    0
   (633,314)    0
   (477,404)    0
   (584,293)    0
   (567,392)    0
   (469,366)    0
   (575,361)    0
   [570,180]    0
   (265,263)    0
   (331,361)    0
   (650,336)    0
   (458,388)    0
   (365,252)    0
   (215,296)    0
