1    1    ljava.awt.Point[x=650,y=180]    f[(604,180) , (530,302) , (468,230) , (465,274) , (415,301) , (491,345) ]    d[46.0, 216.81118318204312, 203.88225099390866, 225.69343417595223, 285.1198410471454, 275.9655121145943]
1    2    ljava.awt.Point[x=650,y=180]    f[(604,180) , (530,302) , (468,230) , (465,274) , (415,301) , (491,345) ]    d[46.0, 232.76955262170054, 203.5391052434013, 229.79393923934072, 285.11984104714566, 289.43860018001305]
1    3    ljava.awt.Point[x=650,y=180]    f[(604,180) , (530,302) , (468,230) , (465,274) , (415,301) , (491,345) ]    d[46.0, 232.76955262170054, 203.5391052434013, 229.79393923934072, 285.11984104714566, 289.43860018001305]
1    4    ljava.awt.Point[x=650,y=180]    f[(604,180) , (530,302) , (468,230) , (465,274) , (415,301) , (491,345) ]    d[46.0, 232.76955262170054, 203.5391052434013, 229.79393923934072, 285.11984104714566, 289.43860018001305]
1    5    ljava.awt.Point[x=650,y=180]    f[(604,180) , (530,302) , (468,230) , (465,274) , (415,301) , (491,345) ]    d[46.0, 232.76955262170054, 203.5391052434013, 229.79393923934072, 285.11984104714566, 289.43860018001305]
1    6    ljava.awt.Point[x=650,y=180]    f[(604,180) , (530,302) , (468,230) , (465,274) , (415,301) , (491,345) ]    d[46.0, 232.76955262170054, 203.5391052434013, 229.79393923934072, 285.11984104714566, 289.43860018001305]
1    7    ljava.awt.Point[x=650,y=180]    f[(604,180) , (530,302) , (468,230) , (465,274) , (415,301) , (491,345) ]    d[46.0, 232.76955262170054, 203.5391052434013, 229.79393923934072, 285.11984104714566, 289.43860018001305]
1    8    ljava.awt.Point[x=650,y=180]    f[(604,180) , (530,302) , (468,230) , (465,274) , (415,301) , (491,345) ]    d[46.0, 232.76955262170054, 203.5391052434013, 229.79393923934072, 285.11984104714566, 289.43860018001305]
1    9    ljava.awt.Point[x=650,y=180]    f[(604,180) , (530,302) , (468,230) , (465,274) , (415,301) , (491,345) ]    d[46.0, 232.76955262170054, 203.5391052434013, 229.79393923934072, 285.11984104714566, 289.43860018001305]
1    10    ljava.awt.Point[x=650,y=180]    f[(604,180) , (530,302) , (468,230) , (465,274) , (415,301) , (491,345) ]    d[46.0, 232.76955262170054, 203.5391052434013, 229.79393923934072, 285.11984104714566, 289.43860018001305]
1    11    ljava.awt.Point[x=650,y=180]    f[(604,180) , (530,302) , (468,230) , (465,274) , (415,301) , (491,345) ]    d[46.0, 232.76955262170054, 203.5391052434013, 229.79393923934072, 285.11984104714566, 289.43860018001305]
1    12    ljava.awt.Point[x=650,y=180]    f[(604,180) , (530,302) , (468,230) , (465,274) , (415,301) , (491,345) ]    d[46.0, 232.76955262170054, 203.5391052434013, 229.79393923934072, 285.11984104714566, 289.43860018001305]
1    13    ljava.awt.Point[x=650,y=180]    f[(604,180) , (530,302) , (468,230) , (465,274) , (415,301) , (491,345) ]    d[46.0, 232.76955262170054, 203.5391052434013, 229.79393923934072, 285.11984104714566, 289.43860018001305]
