Total nodes: 73   Frontiers: 10   Edges: 164
Nodes degrees
   (172,264)    19
   (227,467)    17
   (170,421)    14
   [380,508]    11
   (171,249)    11
   [380,498]    11
   [382,517]    11
   [380,438]    10
   [380,488]    10
   [380,478]    10
   [380,468]    10
   [380,458]    10
   (438,544)    10
   [380,448]    10
   (202,406)    9
   (571,432)    9
   (176,457)    9
   [376,433]    7
   [366,433]    6
   [358,428]    5
   [351,421]    5
   [347,412]    5
   [348,402]    4
   [355,395]    4
   [362,388]    4
   [376,374]    3
   (632,256)    3
   [369,381]    3
   [433,107]    2
   [422,185]    2
   [414,149]    2
   [436,88]    2
   [438,246]    2
   [419,121]    2
   [376,364]    2
   [415,178]    2
   [453,212]    2
   [375,304]    2
   [436,58]    2
   [375,294]    2
   [414,139]    2
   [435,285]    2
   [436,68]    2
   [388,287]    2
   [427,289]    2
   [417,289]    2
   [460,205]    2
   [407,289]    2
   [397,288]    2
   [438,236]    2
   [376,354]    2
   [382,287]    2
   [456,201]    2
   [414,169]    2
   [426,114]    2
   [438,276]    2
   [376,344]    2
   [447,197]    2
   [376,334]    2
   [434,97]    2
   [438,266]    2
   [414,129]    2
   [439,193]    2
   [439,226]    2
   [414,159]    2
   [375,324]    2
   [436,78]    2
   [438,256]    2
   [431,188]    2
   [375,314]    2
   [446,219]    2
   [440,50]    1
   (401,559)    1
Max: 19   Min: 1   Avg: 4
Degree computed in 1 ms

Closeness centrality:
   [376,364]    0,00504
   [376,374]    0,00499
   [369,381]    0,00493
   [362,388]    0,00486
   [355,395]    0,00479
   [348,402]    0,00472
   [347,412]    0,00463
   [351,421]    0,00454
   [358,428]    0,00445
   [366,433]    0,00436
   [376,433]    0,00426
   [380,438]    0,0042
   [380,448]    0,0041
   [380,458]    0,00401
   [380,468]    0,00389
   [380,478]    0,00378
   [380,488]    0,00366
   [380,498]    0,00355
   [380,508]    0,00344
   [382,517]    0,00334
   (401,559)    0,00315
   (227,467)    0,0029
   (438,544)    0,00283
   (202,406)    0,00224
   (571,432)    0,00224
   (176,457)    0,00223
   (170,421)    0,0022
   (172,264)    0,00202
   (171,249)    0,00169
   (632,256)    0,00136
Closeness computed in 338241 ms

Betweenness centrality:
   [376,364]    1319
   [376,374]    1304
   [369,381]    1287
   [362,388]    1222
   [355,395]    1188
   [348,402]    1164
   [347,412]    1108
   [351,421]    1025
   [358,428]    992
   [366,433]    960,5
   [376,433]    867
   [380,438]    829
   [380,448]    736
   [380,458]    666,76667
   [380,468]    482,36667
   [380,478]    432,8
   [380,488]    380,4
   [380,498]    336
   [380,508]    202
   [382,517]    143
   (227,467)    0
   (171,249)    0
   (632,256)    0
   (401,559)    0
   (202,406)    0
   (438,544)    0
   (571,432)    0
   (170,421)    0
   (176,457)    0
   (172,264)    0
Betweenness computed in 13 ms
