Total nodes: 72   Frontiers: 11   Edges: 135
Nodes degrees
   (176,243)    30
   [395,192]    12
   [397,184]    9
   [397,174]    9
   (618,452)    8
   (352,502)    8
   (573,465)    8
   (535,419)    8
   [397,164]    8
   [397,154]    8
   [397,144]    7
   [397,134]    7
   [397,124]    7
   (420,555)    5
   [505,107]    4
   [495,107]    4
   [415,122]    3
   [405,122]    3
   [486,106]    3
   [425,122]    3
   [579,76]    3
   [448,105]    3
   [434,119]    3
   [558,97]    3
   [572,83]    3
   [479,99]    3
   [455,98]    3
   [441,112]    3
   [554,105]    3
   [472,92]    3
   [565,90]    3
   (183,264)    3
   [545,107]    3
   [535,107]    3
   [525,107]    3
   [515,107]    3
   [462,91]    3
   [556,75]    2
   [560,75]    2
   [628,75]    2
   [618,75]    2
   [608,75]    2
   [598,75]    2
   [588,75]    2
   [583,92]    2
   [550,93]    2
   [593,93]    2
   [603,93]    2
   [486,105]    2
   [613,93]    2
   [616,93]    2
   [471,71]    2
   [630,79]    2
   [522,98]    2
   [532,98]    2
   [542,98]    2
   [567,82]    2
   [457,57]    2
   [479,98]    2
   [464,64]    2
   [472,81]    2
   [556,85]    2
   [623,86]    2
   [514,103]    2
   [637,72]    2
   [574,89]    2
   [472,91]    2
   [450,50]    1
   (220,411)    1
   (387,546)    1
   (221,455)    1
   (467,520)    1
Max: 30   Min: 1   Avg: 3
Degree computed in 0 ms

Closeness centrality:
   [495,107]    0,00742
   [505,107]    0,00737
   [486,106]    0,00734
   [479,99]    0,00723
   [472,92]    0,00712
   [514,103]    0,0071
   [515,107]    0,00708
   [486,105]    0,00704
   [462,91]    0,00699
   [455,98]    0,00686
   [525,107]    0,00681
   [448,105]    0,00672
   [441,112]    0,00657
   [535,107]    0,00656
   [434,119]    0,00642
   [545,107]    0,00634
   [425,122]    0,00626
   [554,105]    0,00614
   [415,122]    0,0061
   [558,97]    0,00596
   [405,122]    0,00593
   [397,124]    0,0058
   [565,90]    0,00577
   [397,134]    0,00561
   [572,83]    0,0056
   [579,76]    0,00543
   [397,144]    0,00543
   [588,75]    0,00529
   [397,154]    0,00524
   (535,419)    0,00512
   [397,164]    0,00505
   (573,465)    0,00502
   (618,452)    0,00494
   [397,174]    0,00487
   [397,184]    0,0047
   [395,192]    0,00455
   (352,502)    0,00334
   (176,243)    0,00215
   (183,264)    0,00201
   (220,411)    0,0016
   (221,455)    0,0016
   (387,546)    0,00153
   (420,555)    0,00152
   (467,520)    0,00151
Closeness computed in 487915 ms

Betweenness centrality:
   [495,107]    1565
   [505,107]    1434
   [486,106]    1289
   [479,99]    1275
   [472,92]    1259
   [462,91]    1241
   [455,98]    1221
   [448,105]    1199
   [441,112]    1175
   [434,119]    1149
   [425,122]    1071
   [415,122]    1040
   [405,122]    1007
   [397,124]    972
   [514,103]    812
   [515,107]    730
   [397,134]    720
   [397,144]    708
   [525,107]    689
   [535,107]    649
   [397,154]    647
   [545,107]    610
   [397,164]    597
   [554,105]    571
   [558,97]    532
   [486,105]    519
   [397,174]    515
   [565,90]    493
   [572,83]    454
   [579,76]    416
   [588,75]    379
   [397,184]    370
   [395,192]    356
   (618,452)    0
   (535,419)    0
   (420,555)    0
   (220,411)    0
   (387,546)    0
   (352,502)    0
   (573,465)    0
   (183,264)    0
   (221,455)    0
   (467,520)    0
   (176,243)    0
Betweenness computed in 15 ms
