Node    [524,414] -> {[517,407]=9,899  [531,421]=9,899  }
Node    [517,407] -> {[524,414]=9,899  [510,400]=9,899  }
Node    [510,400] -> {[517,407]=9,899  [503,393]=9,899  }
Node    [503,393] -> {[498,385]=9,434  [510,400]=9,899  }
Node    [498,385] -> {[503,393]=9,434  [489,384]=9,055  }
Node    [489,384] -> {[498,385]=9,055  [480,381]=9,487  }
Node    [480,381] -> {[489,384]=9,487  [473,374]=9,899  }
Node    [473,374] -> {[466,367]=9,899  [480,381]=9,899  }
Node    [466,367] -> {[473,374]=9,899  [457,364]=9,487  }
Node    [457,364] -> {[466,367]=9,487  [447,364]=10,0  }
Node    [447,364] -> {[437,364]=10,0  [457,364]=10,0  }
Node    [437,364] -> {[447,364]=10,0  [427,364]=10,0  }
Node    [427,364] -> {[437,364]=10,0  [417,364]=10,0  }
Node    [417,364] -> {[407,364]=10,0  [427,364]=10,0  }
Node    [407,364] -> {[397,364]=10,0  [417,364]=10,0  }
Node    [397,364] -> {[407,364]=10,0  [387,364]=10,0  }
Node    [387,364] -> {[377,364]=10,0  [397,364]=10,0  }
Node    [377,364] -> {[367,364]=10,0  [387,364]=10,0  }
Node    [367,364] -> {[377,364]=10,0  [357,364]=10,0  }
Node    [357,364] -> {[347,364]=10,0  [367,364]=10,0  }
Node    [347,364] -> {[337,364]=10,0  [357,364]=10,0  }
Node    [337,364] -> {[347,364]=10,0  [327,364]=10,0  }
Node    [327,364] -> {[317,364]=10,0  [337,364]=10,0  }
Node    [317,364] -> {[307,364]=10,0  [327,364]=10,0  }
Node    [307,364] -> {[317,364]=10,0  [298,367]=9,487  }
Node    [298,367] -> {[307,364]=9,487  [288,367]=10,0  }
Node    [288,367] -> {[298,367]=10,0  [278,367]=10,0  }
Node    [278,367] -> {[288,367]=10,0  (208,453)=87,876  [278,377]=10,0  }
Node    [278,377] -> {[278,367]=10,0  (208,453)=137,497  [278,387]=10,0  }
Node    [278,387] -> {(208,453)=133,355  [278,377]=10,0  (660,94)=793,274  }
Node f  [660,94] -> {[278,387]=793,274  }
Node f  [208,453] -> {[278,367]=87,876  [278,377]=137,497  [278,387]=133,355  }
