Node    [130,170] -> {[130,180]=10,0  }
Node    [130,180] -> {[130,170]=10,0  [136,176]=7,211  }
Node    [136,176] -> {[130,180]=7,211  [143,169]=9,899  }
Node    [143,169] -> {[136,176]=9,899  [146,160]=9,487  }
Node    [146,160] -> {[146,150]=10,0  [143,169]=9,487  }
Node    [146,150] -> {[149,141]=9,487  [146,160]=10,0  }
Node    [149,141] -> {[146,150]=9,487  [149,131]=10,0  }
Node    [149,131] -> {[149,141]=10,0  [150,122]=9,055  }
Node    [150,122] -> {[157,115]=9,899  [149,131]=9,055  }
Node    [157,115] -> {[150,122]=9,899  [165,109]=10,0  }
Node    [165,109] -> {[157,115]=10,0  [175,109]=10,0  }
Node    [175,109] -> {[182,116]=9,899  [165,109]=10,0  }
Node    [182,116] -> {[175,109]=9,899  [189,123]=9,899  }
Node    [189,123] -> {[182,116]=9,899  [196,130]=9,899  }
Node    [196,130] -> {[189,123]=9,899  [200,138]=8,944  }
Node    [200,138] -> {[200,148]=10,0  [196,130]=8,944  }
Node    [200,148] -> {[200,158]=10,0  [200,138]=10,0  }
Node    [200,158] -> {[200,168]=10,0  [200,148]=10,0  }
Node    [200,168] -> {[200,178]=10,0  [200,158]=10,0  }
Node    [200,178] -> {[200,188]=10,0  [200,168]=10,0  }
Node    [200,188] -> {[200,198]=10,0  [200,178]=10,0  }
Node    [200,198] -> {[200,188]=10,0  [196,190]=8,944  }
Node    [196,190] -> {[196,180]=10,0  [200,198]=8,944  }
Node    [196,180] -> {[196,190]=10,0  [197,170]=10,05  }
Node    [197,170] -> {[196,180]=10,05  [197,160]=10,0  }
Node    [197,160] -> {[197,170]=10,0  [197,150]=10,0  }
Node    [197,150] -> {[197,160]=10,0  [197,140]=10,0  }
Node    [197,140] -> {(519,118)=336,083  [197,150]=10,0  (341,188)=,0  (473,186)=322,35  }
Node f  [341,188] -> {[197,140]=,0  }
Node f  [519,118] -> {[197,140]=336,083  }
Node f  [473,186] -> {[197,140]=322,35  }
