Total nodes: 34   Frontiers: 7   Edges: 70
Nodes degrees
   (319,75)    18
   (235,157)    18
   [476,290]    8
   [476,280]    6
   [476,270]    6
   [442,201]    4
   [504,233]    4
   [456,215]    4
   [490,247]    4
   [439,192]    4
   [501,226]    4
   [511,226]    4
   [481,226]    4
   [491,226]    4
   [471,226]    4
   [479,262]    4
   [449,208]    4
   [497,240]    4
   [463,222]    4
   [483,254]    4
   (273,333)    3
   [439,152]    2
   [439,182]    2
   [439,132]    2
   [439,162]    2
   (396,361)    2
   [439,142]    2
   [427,117]    2
   [439,172]    2
   [434,124]    2
   (657,355)    1
   (321,401)    1
   [420,110]    1
   (449,486)    1
Max: 18   Min: 1   Avg: 4

Closeness centrality:
   [471,226]    1
   [481,226]    1
   [463,222]    0,993
   [491,226]    0,993
   [456,215]    0,979
   [501,226]    0,978
   [449,208]    0,958
   [511,226]    0,957
   [442,201]    0,932
   [504,233]    0,931
   [497,240]    0,904
   [439,192]    0,899
   [490,247]    0,871
   [439,182]    0,85
   [483,254]    0,833
   [439,172]    0,799
   [479,262]    0,794
   [476,270]    0,755
   [439,162]    0,747
   [476,280]    0,705
   [439,152]    0,695
   [476,290]    0,656
   [439,142]    0,642
   [439,132]    0,591
   [434,124]    0,544
   [427,117]    0,495
   [420,110]    0,448
   (319,75)    0,151
   (235,157)    0,077
   (396,361)    0,074
   (657,355)    0,036
   (273,333)    0,011
   (321,401)    0,006
   (449,486)    0

Betweenness centrality:
   [481,226]    1
   [471,226]    1
   [491,226]    0,992
   [463,222]    0,992
   [456,215]    0,976
   [501,226]    0,976
   [511,226]    0,951
   [449,208]    0,951
   [504,233]    0,923
   [442,201]    0,919
   [497,240]    0,891
   [439,192]    0,879
   [490,247]    0,85
   [439,182]    0,81
   [483,254]    0,802
   [479,262]    0,757
   [439,172]    0,737
   [476,270]    0,717
   [439,162]    0,656
   [439,152]    0,567
   [476,280]    0,526
   [439,142]    0,47
   [476,290]    0,385
   [439,132]    0,364
   [434,124]    0,251
   [427,117]    0,13
   (657,355)    0
   (273,333)    0
   (321,401)    0
   (396,361)    0
   [420,110]    0
   (449,486)    0
   (319,75)    0
   (235,157)    0
