Total nodes: 57   Frontiers: 6   Edges: 188
Nodes degrees
   (319,76)    40
   (229,158)    39
   (270,334)    18
   (302,391)    18
   [476,270]    15
   [486,270]    12
   (447,489)    9
   [466,270]    9
   [456,270]    9
   (669,363)    9
   [500,284]    8
   [493,277]    8
   [496,270]    8
   [446,270]    7
   [506,270]    7
   [487,270]    7
   [504,278]    6
   [495,274]    6
   [497,271]    6
   [477,270]    6
   [459,263]    6
   [493,263]    6
   [452,256]    5
   [500,256]    5
   [438,218]    4
   [463,247]    4
   [456,240]    4
   [490,284]    4
   [483,277]    4
   [449,233]    4
   [467,274]    4
   [467,270]    4
   [497,269]    4
   [465,270]    4
   [475,270]    4
   [458,270]    4
   [457,270]    4
   [455,270]    4
   [447,266]    4
   [495,266]    4
   [449,266]    4
   [442,226]    4
   [470,264]    4
   [504,262]    4
   [469,255]    4
   [438,208]    3
   [439,148]    2
   [439,178]    2
   [417,117]    2
   [438,138]    2
   [439,168]    2
   [431,131]    2
   [439,198]    2
   [439,158]    2
   [439,188]    2
   [424,124]    2
   [410,110]    1
Max: 40   Min: 1   Avg: 6

Closeness centrality:
   [476,270]    1
   [477,270]    0,985
   [475,270]    0,985
   [470,264]    0,958
   [469,255]    0,914
   [486,270]    0,906
   [466,270]    0,899
   [467,270]    0,87
   [463,247]    0,864
   [483,277]    0,863
   [467,274]    0,859
   [487,270]    0,856
   [465,270]    0,847
   [456,240]    0,814
   [456,270]    0,793
   [493,277]    0,793
   [495,266]    0,786
   [495,274]    0,784
   [496,270]    0,783
   [493,263]    0,783
   [459,263]    0,782
   [449,233]    0,764
   [490,284]    0,755
   [457,270]    0,754
   [455,270]    0,753
   [458,270]    0,75
   [497,269]    0,747
   [497,271]    0,744
   [442,226]    0,715
   [500,284]    0,701
   [504,262]    0,694
   [446,270]    0,693
   [447,266]    0,693
   [504,278]    0,689
   [452,256]    0,683
   [506,270]    0,682
   [500,256]    0,681
   [449,266]    0,674
   [438,218]    0,671
   [438,208]    0,619
   [439,198]    0,568
   [439,188]    0,52
   [439,178]    0,476
   [439,168]    0,434
   [439,158]    0,395
   [439,148]    0,358
   [438,138]    0,324
   [431,131]    0,293
   [424,124]    0,263
   [417,117]    0,236
   [410,110]    0,211
   (669,363)    0,047
   (319,76)    0,045
   (302,391)    0,036
   (447,489)    0,035
   (270,334)    0,029
   (229,158)    0

Betweenness centrality:
   [476,270]    1
   [470,264]    0,59
   [469,255]    0,574
   [463,247]    0,553
   [456,240]    0,533
   [449,233]    0,512
   [442,226]    0,488
   [438,218]    0,471
   [438,208]    0,451
   [486,270]    0,43
   [439,198]    0,419
   [439,188]    0,385
   [439,178]    0,35
   [466,270]    0,347
   [439,168]    0,312
   [439,158]    0,273
   [439,148]    0,232
   [438,138]    0,189
   [431,131]    0,145
   [456,270]    0,13
   [477,270]    0,117
   [424,124]    0,098
   [467,270]    0,092
   [459,263]    0,087
   [475,270]    0,084
   [487,270]    0,079
   [496,270]    0,076
   [483,277]    0,056
   [493,263]    0,056
   [495,274]    0,054
   [495,266]    0,054
   [417,117]    0,05
   [467,274]    0,047
   [457,270]    0,046
   [465,270]    0,041
   [493,277]    0,036
   [506,270]    0,028
   [452,256]    0,019
   [490,284]    0,018
   [500,284]    0,016
   [447,266]    0,013
   [504,262]    0,012
   [504,278]    0,01
   [455,270]    0,005
   [497,271]    0,004
   [497,269]    0,004
   [458,270]    0,004
   [446,270]    0,003
   [449,266]    0,003
   (447,489)    0
   (270,334)    0
   (669,363)    0
   (302,391)    0
   [410,110]    0
   [500,256]    0
   (229,158)    0
   (319,76)    0
