Node    [616,448] -> {[611,450]=5,385  [623,441]=9,899  }
Node    [623,441] -> {[616,448]=9,899  [630,434]=9,899  }
Node    [630,434] -> {[638,430]=8,944  [623,441]=9,899  }
Node    [638,430] -> {[648,430]=10,0  [630,434]=8,944  }
Node    [648,430] -> {[638,430]=10,0  (657,232)=,0  [641,437]=9,899  }
Node    [641,437] -> {[648,430]=9,899  [634,444]=9,899  }
Node    [634,444] -> {[641,437]=9,899  [627,451]=9,899  }
Node    [627,451] -> {[618,453]=9,22  [634,444]=9,899  }
Node    [618,453] -> {[627,451]=9,22  [608,453]=10,0  }
Node    [608,453] -> {[618,453]=10,0  [598,453]=10,0  }
Node    [598,453] -> {[589,449]=9,849  [608,453]=10,0  }
Node    [589,449] -> {[582,442]=9,899  [598,453]=9,849  }
Node    [582,442] -> {[589,449]=9,899  [575,435]=9,899  }
Node    [575,435] -> {[582,442]=9,899  [565,435]=10,0  }
Node    [565,435] -> {[575,435]=10,0  [558,428]=9,899  }
Node    [558,428] -> {[565,435]=9,899  [551,421]=9,899  }
Node    [551,421] -> {[544,414]=9,899  [558,428]=9,899  }
Node    [544,414] -> {[534,413]=10,05  [551,421]=9,899  }
Node    [534,413] -> {[524,413]=10,0  [544,414]=10,05  }
Node    [524,413] -> {[534,413]=10,0  [515,412]=9,055  }
Node    [515,412] -> {[524,413]=9,055  [515,402]=10,0  }
Node    [515,402] -> {[511,394]=8,944  [515,412]=10,0  }
Node    [511,394] -> {[504,387]=9,899  [518,401]=9,899  [515,402]=8,944  }
Node    [504,387] -> {[511,394]=9,899  [497,380]=9,899  }
Node    [497,380] -> {[504,387]=9,899  }
Node    [518,401] -> {[511,394]=9,899  [519,411]=10,05  }
Node    [519,411] -> {[518,401]=10,05  [519,421]=10,0  }
Node    [519,421] -> {[519,411]=10,0  [526,428]=9,899  }
Node    [526,428] -> {(192,437)=405,978  (278,434)=,0  [519,421]=9,899  }
Node f  [278,434] -> {[526,428]=,0  }
Node f  [192,437] -> {[526,428]=405,978  }
Node f  [657,232] -> {[648,430]=,0  }
