Node    [130,183] -> {[125,191]=9,434  }
Node    [125,191] -> {[130,183]=9,434  [125,201]=10,0  }
Node    [125,201] -> {[125,191]=10,0  [125,211]=10,0  }
Node    [125,211] -> {[125,201]=10,0  [124,220]=9,055  }
Node    [124,220] -> {[128,217]=5,0  [125,211]=9,055  }
Node    [128,217] -> {[124,220]=5,0  [135,210]=9,899  }
Node    [135,210] -> {[142,203]=9,899  [128,217]=9,899  }
Node    [142,203] -> {[146,195]=8,944  [135,210]=9,899  }
Node    [146,195] -> {[142,203]=8,944  [146,185]=10,0  }
Node    [146,185] -> {[146,195]=10,0  [146,175]=10,0  }
Node    [146,175] -> {[146,165]=10,0  [146,185]=10,0  }
Node    [146,165] -> {[146,175]=10,0  [146,155]=10,0  }
Node    [146,155] -> {[146,145]=10,0  [146,165]=10,0  }
Node    [146,145] -> {[150,137]=8,944  [146,155]=10,0  }
Node    [150,137] -> {[146,145]=8,944  [157,130]=9,899  }
Node    [157,130] -> {[150,137]=9,899  [164,123]=9,899  }
Node    [164,123] -> {[157,130]=9,899  [171,116]=9,899  }
Node    [171,116] -> {[179,112]=8,944  [164,123]=9,899  }
Node    [179,112] -> {[189,112]=10,0  [171,116]=8,944  }
Node    [189,112] -> {[179,112]=10,0  [199,112]=10,0  }
Node    [199,112] -> {[189,112]=10,0  [209,112]=10,0  }
Node    [209,112] -> {[199,112]=10,0  [219,112]=10,0  }
Node    [219,112] -> {[229,112]=10,0  [209,112]=10,0  }
Node    [229,112] -> {[239,112]=10,0  [219,112]=10,0  }
Node    [239,112] -> {[229,112]=10,0  [249,112]=10,0  }
Node    [249,112] -> {[259,112]=10,0  [239,112]=10,0  }
Node    [259,112] -> {[269,112]=10,0  [249,112]=10,0  }
Node    [269,112] -> {[259,112]=10,0  (409,178)=188,426  (464,112)=196,657  }
Node f  [409,178] -> {[269,112]=188,426  }
Node f  [464,112] -> {[269,112]=196,657  }
