Node    [70,230] -> {[77,223]=9,899  }
Node    [77,223] -> {[85,218]=9,434  [70,230]=9,899  }
Node    [85,218] -> {[77,223]=9,434  [93,214]=8,944  }
Node    [93,214] -> {[101,210]=8,944  [85,218]=8,944  }
Node    [101,210] -> {[111,210]=10,0  [93,214]=8,944  }
Node    [111,210] -> {[121,210]=10,0  [101,210]=10,0  }
Node    [121,210] -> {[111,210]=10,0  [130,213]=9,487  }
Node    [130,213] -> {[121,210]=9,487  [137,220]=9,899  }
Node    [137,220] -> {[130,213]=9,899  [145,226]=10,0  }
Node    [145,226] -> {[137,220]=10,0  [155,226]=10,0  }
Node    [155,226] -> {[145,226]=10,0  [165,226]=10,0  }
Node    [165,226] -> {[155,226]=10,0  [175,226]=10,0  }
Node    [175,226] -> {[185,225]=10,05  [165,226]=10,0  }
Node    [185,225] -> {[192,218]=9,899  [175,226]=10,05  }
Node    [192,218] -> {[185,225]=9,899  [199,211]=9,899  }
Node    [199,211] -> {[192,218]=9,899  [206,204]=9,899  }
Node    [206,204] -> {[213,197]=9,899  [199,211]=9,899  }
Node    [213,197] -> {[217,193]=5,657  [206,204]=9,899  }
Node    [217,193] -> {[213,197]=5,657  [224,199]=9,22  }
Node    [224,199] -> {[217,193]=9,22  [228,207]=8,944  }
Node    [228,207] -> {[228,217]=10,0  [224,199]=8,944  }
Node    [228,217] -> {[231,226]=9,487  [228,207]=10,0  }
Node    [231,226] -> {[228,217]=9,487  [231,236]=10,0  }
Node    [231,236] -> {[231,246]=10,0  [231,226]=10,0  }
Node    [231,246] -> {[231,256]=10,0  [231,236]=10,0  }
Node    [231,256] -> {[231,246]=10,0  [236,258]=5,385  }
Node    [236,258] -> {[243,251]=9,899  [231,256]=5,385  }
Node    [243,251] -> {[236,258]=9,899  [250,244]=9,899  }
Node    [250,244] -> {[260,244]=10,0  [243,251]=9,899  }
Node    [260,244] -> {[258,249]=5,385  [250,244]=10,0  }
Node    [258,249] -> {[260,244]=5,385  [251,256]=9,899  }
Node    [251,256] -> {[247,264]=8,944  [258,249]=9,899  }
Node    [247,264] -> {[247,274]=10,0  [251,256]=8,944  }
Node    [247,274] -> {[247,264]=10,0  [246,284]=10,05  }
Node    [246,284] -> {[253,289]=8,602  [247,274]=10,05  }
Node    [253,289] -> {[246,284]=8,602  [263,289]=10,0  }
Node    [263,289] -> {[253,289]=10,0  [273,290]=10,05  }
Node    [273,290] -> {[280,297]=9,899  [263,289]=10,05  }
Node    [280,297] -> {[273,290]=9,899  [287,304]=9,899  }
Node    [287,304] -> {[280,297]=9,899  [291,312]=8,944  }
Node    [291,312] -> {[287,304]=8,944  [291,322]=10,0  }
Node    [291,322] -> {[291,332]=10,0  [291,312]=10,0  }
Node    [291,332] -> {[291,342]=10,0  [291,322]=10,0  }
Node    [291,342] -> {[291,332]=10,0  [292,351]=9,055  }
Node    [292,351] -> {[291,342]=9,055  [299,358]=9,899  }
Node    [299,358] -> {[306,365]=9,899  [292,351]=9,899  }
Node    [306,365] -> {[313,372]=9,899  [299,358]=9,899  }
Node    [313,372] -> {[306,365]=9,899  [316,381]=9,487  }
Node    [316,381] -> {[313,372]=9,487  [316,391]=10,0  }
Node    [316,391] -> {[316,381]=10,0  [316,401]=10,0  }
Node    [316,401] -> {[316,391]=10,0  [323,401]=7,0  }
Node    [323,401] -> {[316,401]=7,0  [333,401]=10,0  }
Node    [333,401] -> {[323,401]=10,0  [343,401]=10,0  }
Node    [343,401] -> {[333,401]=10,0  [353,401]=10,0  }
Node    [353,401] -> {[343,401]=10,0  [363,401]=10,0  }
Node    [363,401] -> {[353,401]=10,0  [373,401]=10,0  }
Node    [373,401] -> {[383,402]=10,05  [363,401]=10,0  }
Node    [383,402] -> {[393,402]=10,0  [373,401]=10,05  }
Node    [393,402] -> {[403,402]=10,0  [383,402]=10,0  }
Node    [403,402] -> {[393,402]=10,0  [410,395]=9,899  }
Node    [410,395] -> {[403,402]=9,899  [415,387]=9,434  }
Node    [415,387] -> {[410,395]=9,434  [421,379]=10,0  }
Node    [421,379] -> {[422,369]=10,05  [415,387]=10,0  }
Node    [422,369] -> {[421,379]=10,05  [422,359]=10,0  }
Node    [422,359] -> {[422,369]=10,0  [422,349]=10,0  }
Node    [422,349] -> {[422,359]=10,0  [423,341]=8,062  }
Node    [423,341] -> {[430,348]=9,899  [422,349]=8,062  }
Node    [430,348] -> {[437,355]=9,899  [423,341]=9,899  }
Node    [437,355] -> {[444,362]=9,899  [430,348]=9,899  }
Node    [444,362] -> {[437,355]=9,899  [451,369]=9,899  }
Node    [451,369] -> {[444,362]=9,899  [460,372]=9,487  }
Node    [460,372] -> {[451,369]=9,487  [469,374]=9,22  }
Node    [469,374] -> {[479,374]=10,0  [460,372]=9,22  }
Node    [479,374] -> {[480,379]=5,099  [469,374]=10,0  }
Node    [480,379] -> {[473,386]=9,899  [479,374]=5,099  }
Node    [473,386] -> {[480,379]=9,899  [477,378]=8,944  }
Node    [477,378] -> {[477,368]=10,0  [473,386]=8,944  }
Node    [477,368] -> {[477,378]=10,0  [481,360]=8,944  }
