Node    [100,210] -> {[110,209]=10,05  }
Node    [110,209] -> {[100,210]=10,05  [120,209]=10,0  }
Node    [120,209] -> {[110,209]=10,0  [130,209]=10,0  }
Node    [130,209] -> {[120,209]=10,0  [140,209]=10,0  }
Node    [140,209] -> {[130,209]=10,0  [150,209]=10,0  }
Node    [150,209] -> {[140,209]=10,0  [160,209]=10,0  }
Node    [160,209] -> {[150,209]=10,0  [170,209]=10,0  }
Node    [170,209] -> {[178,208]=8,062  [160,209]=10,0  }
Node    [178,208] -> {[188,208]=10,0  [170,209]=8,062  }
Node    [188,208] -> {[178,208]=10,0  [198,208]=10,0  }
Node    [198,208] -> {[188,208]=10,0  [206,208]=8,0  }
Node    [206,208] -> {[196,209]=10,05  [198,208]=8,0  }
Node    [196,209] -> {(272,506)=363,735  [186,209]=10,0  [206,208]=10,05  }
Node    [186,209] -> {[196,209]=10,0  [176,209]=10,0  }
Node    [176,209] -> {[166,208]=10,05  [186,209]=10,0  }
Node    [166,208] -> {[158,202]=10,0  [176,209]=10,05  }
Node    [158,202] -> {[166,208]=10,0  [160,197]=5,385  }
Node    [160,197] -> {[158,202]=5,385  [168,193]=8,944  }
Node    [168,193] -> {[168,183]=10,0  (352,524)=458,169  [160,197]=8,944  }
Node    [168,183] -> {[168,173]=10,0  [168,193]=10,0  }
Node    [168,173] -> {[168,183]=10,0  [168,163]=10,0  }
Node    [168,163] -> {[168,153]=10,0  [168,173]=10,0  }
Node    [168,153] -> {[168,163]=10,0  [170,148]=5,385  }
Node    [170,148] -> {[168,153]=5,385  [177,155]=9,899  }
Node    [177,155] -> {[170,148]=9,899  [187,155]=10,0  }
Node    [187,155] -> {[197,155]=10,0  [177,155]=10,0  }
Node    [197,155] -> {[207,155]=10,0  [187,155]=10,0  }
Node    [207,155] -> {[197,155]=10,0  [214,148]=9,899  }
Node    [214,148] -> {[207,155]=9,899  [221,141]=9,899  }
Node    [221,141] -> {[214,148]=9,899  [228,134]=9,899  }
Node    [228,134] -> {[235,127]=9,899  [221,141]=9,899  }
Node    [235,127] -> {[228,134]=9,899  [242,120]=9,899  }
Node    [242,120] -> {[235,127]=9,899  [247,112]=9,434  }
Node    [247,112] -> {[247,102]=10,0  [242,120]=9,434  }
Node    [247,102] -> {[247,92]=10,0  [247,112]=10,0  }
Node    [247,92] -> {[247,82]=10,0  [247,102]=10,0  }
Node    [247,82] -> {[247,92]=10,0  [251,81]=4,123  }
Node    [251,81] -> {[259,85]=8,944  [247,82]=4,123  }
Node    [259,85] -> {[269,85]=10,0  [251,81]=8,944  }
Node    [269,85] -> {[259,85]=10,0  [279,85]=10,0  }
Node    [279,85] -> {[289,85]=10,0  [269,85]=10,0  }
Node    [289,85] -> {[299,85]=10,0  [279,85]=10,0  }
Node    [299,85] -> {[289,85]=10,0  [309,85]=10,0  }
Node    [309,85] -> {[299,85]=10,0  [319,84]=10,05  }
Node    [319,84] -> {[327,79]=9,434  [309,85]=10,05  }
Node    [327,79] -> {[335,73]=10,0  [319,84]=9,434  }
Node    [335,73] -> {[327,79]=10,0  [344,76]=9,487  }
Node    [344,76] -> {[335,73]=9,487  [354,76]=10,0  }
Node    [354,76] -> {[344,76]=10,0  [364,76]=10,0  }
Node    [364,76] -> {[374,76]=10,0  [354,76]=10,0  }
Node    [374,76] -> {[364,76]=10,0  [381,82]=9,22  }
Node    [381,82] -> {[374,76]=9,22  [391,83]=10,05  }
Node    [391,83] -> {[396,85]=5,385  [381,82]=10,05  }
Node    [396,85] -> {[389,92]=9,899  [391,83]=5,385  }
Node    [389,92] -> {[396,85]=9,899  [381,96]=8,944  }
Node    [381,96] -> {[389,92]=8,944  [375,102]=8,485  }
Node    [375,102] -> {[382,95]=9,899  (291,500)=468,919  [381,96]=8,485  }
Node    [382,95] -> {[375,102]=9,899  [389,88]=9,899  }
Node    [389,88] -> {[382,95]=9,899  [396,81]=9,899  }
Node    [396,81] -> {[389,88]=9,899  [401,73]=9,434  }
Node    [401,73] -> {[396,81]=9,434  [405,73]=4,0  }
Node    [405,73] -> {[412,80]=9,899  [401,73]=4,0  }
Node    [412,80] -> {[419,87]=9,899  [405,73]=9,899  }
Node    [419,87] -> {[412,80]=9,899  [428,89]=9,22  }
Node    [428,89] -> {[419,87]=9,22  [436,87]=8,246  }
Node    [436,87] -> {[428,89]=8,246  [436,77]=10,0  }
Node    [436,77] -> {[443,70]=9,899  [436,87]=10,0  }
Node    [443,70] -> {[450,63]=9,899  [436,77]=9,899  }
Node    [450,63] -> {[443,70]=9,899  [457,56]=9,899  }
Node    [457,56] -> {[450,63]=9,899  [465,60]=8,944  }
Node    [465,60] -> {[457,56]=8,944  [473,64]=8,944  }
Node    [473,64] -> {[477,72]=8,944  [465,60]=8,944  }
Node    [477,72] -> {[486,74]=9,22  (369,533)=507,392  (438,477)=,0  (150,401)=,0  [473,64]=8,944  }
Node    [486,74] -> {[496,74]=10,0  [477,72]=9,22  }
Node    [496,74] -> {[506,74]=10,0  [486,74]=10,0  }
Node    [506,74] -> {[496,74]=10,0  [516,74]=10,0  }
Node    [516,74] -> {[506,74]=10,0  [526,74]=10,0  }
Node    [526,74] -> {[516,74]=10,0  [536,74]=10,0  }
Node    [536,74] -> {[546,74]=10,0  [526,74]=10,0  }
Node    [546,74] -> {[536,74]=10,0  [553,70]=8,062  }
Node    [553,70] -> {[557,69]=4,123  [546,74]=8,062  }
Node    [557,69] -> {[565,74]=9,434  [553,70]=4,123  }
Node    [565,74] -> {[557,69]=9,434  [575,74]=10,0  }
Node    [575,74] -> {[565,74]=10,0  [585,74]=10,0  }
Node    [585,74] -> {[592,81]=9,899  [575,74]=10,0  }
Node    [592,81] -> {(620,83)=30,485  [598,88]=9,22  [585,74]=9,899  }
Node    [598,88] -> {[592,81]=9,22  (702,407)=413,375  [605,95]=9,899  (456,533)=520,144  (723,354)=434,546  }
Node    [605,95] -> {[598,88]=9,899  [612,102]=9,899  (710,444)=462,718  }
Node    [612,102] -> {[605,95]=9,899  (646,347)=331,936  (636,104)=30,217  (669,321)=247,581  (705,523)=535,889  }
Node f  [636,104] -> {[612,102]=30,217  }
Node f  [620,83] -> {[592,81]=30,485  }
Node f  [710,444] -> {[605,95]=462,718  }
Node f  [669,321] -> {[612,102]=247,581  }
Node f  [723,354] -> {[598,88]=434,546  }
Node f  [646,347] -> {[612,102]=331,936  }
Node f  [702,407] -> {[598,88]=413,375  }
Node f  [150,401] -> {[477,72]=,0  }
Node f  [352,524] -> {[168,193]=458,169  }
Node f  [438,477] -> {[477,72]=,0  }
Node f  [291,500] -> {[375,102]=468,919  }
Node f  [272,506] -> {[196,209]=363,735  }
Node f  [705,523] -> {[612,102]=535,889  }
Node f  [456,533] -> {[598,88]=520,144  }
Node f  [369,533] -> {[477,72]=507,392  }
