PR
1;[430,110];7;
1;[450,110];6;
1;[470,110];6;
1;[490,110];7;
1;[363,143];4;
1;[473,297];3;
1;[365,285];2;
1;[475,274];3;
1;[583,274];2;

PR
1;[430,110];7;
1;[450,110];6;
1;[470,110];6;
1;[490,110];7;
1;[363,143];4;
1;[473,297];3;
1;[365,285];2;
1;[583,274];2;
1;[475,274];3;

PR
1;[430,110];7;
1;[450,110];7;
1;[470,110];6;
1;[490,110];7;
1;[363,143];4;
1;[473,297];3;
1;[365,285];2;
1;[583,274];2;
1;[474,273];4;

1
[390,110];[530,110] [337,153] [450,110] [437,299] [470,110] [490,110] [510,110] [410,110] [430,110] [474,266] ;
[410,110];[530,110] [337,153] [450,110] [437,299] [470,110] [490,110] [510,110] [390,110] [430,110] [474,266] ;
[430,110];[530,110] [337,153] [399,272] [450,110] [437,299] [470,110] [490,110] [510,110] [390,110] [410,110] ;
[450,110];[530,110] [337,153] [437,299] [470,110] [490,110] [510,110] [390,110] [410,110] [430,110] ;
[470,110];[530,110] [337,153] [399,272] [450,110] [437,299] [490,110] [510,110] [390,110] [410,110] [430,110] [474,266] ;
[490,110];[530,110] [588,284] [337,153] [450,110] [437,299] [470,110] [510,110] [390,110] [410,110] [430,110] [474,266] ;
[510,110];[530,110] [588,284] [337,153] [399,272] [450,110] [437,299] [470,110] [490,110] [390,110] [410,110] [430,110] [474,266] ;
[530,110];[588,284] [337,153] [450,110] [470,110] [490,110] [510,110] [390,110] [410,110] [430,110] [474,266] ;
f [437,299];[450,110] [470,110] [490,110] [510,110] [390,110] [410,110] [430,110] ;
f [399,272];[470,110] [510,110] [430,110] ;
f [588,284];[530,110] [490,110] [510,110] ;
f [337,153];[530,110] [450,110] [470,110] [490,110] [510,110] [390,110] [410,110] [430,110] ;
f [474,266];[530,110] [470,110] [490,110] [510,110] [390,110] [410,110] ;

8
[390,110];[530,110] [338,153] [439,169] [450,110] [470,110] [490,110] [510,110] [410,110] [430,110] [559,161] ;
[410,110];[530,110] [338,153] [439,169] [450,110] [470,110] [490,110] [510,110] [390,110] [430,110] [559,161] ;
[430,110];[530,110] [338,153] [439,169] [450,110] [470,110] [490,110] [510,110] [390,110] [410,110] [559,161] ;
[450,110];[530,110] [338,153] [439,169] [470,110] [490,110] [510,110] [390,110] [410,110] [522,74] [430,110] [559,161] ;
[470,110];[530,110] [338,153] [439,169] [450,110] [490,110] [510,110] [390,110] [410,110] [522,74] [430,110] [559,161] ;
[490,110];[530,110] [338,153] [439,169] [450,110] [470,110] [510,110] [390,110] [410,110] [522,74] [430,110] [559,161] ;
[510,110];[530,110] [338,153] [439,169] [450,110] [470,110] [490,110] [390,110] [410,110] [522,74] [430,110] [559,161] ;
[530,110];[338,153] [439,169] [450,110] [470,110] [490,110] [510,110] [390,110] [410,110] [522,74] [430,110] [559,161] ;
f [271,322];[338,153] ;
f [148,165];[338,153] ;
f [368,352];[338,153] ;
f [616,321];[559,161] ;
f [210,282];[338,153] ;
f [438,362];[439,169] ;
f [522,74];[530,110] [439,169] [450,110] [470,110] [490,110] [510,110] [559,161] ;
f [324,74];[338,153] ;
f [516,348];[559,161] ;
[338,153];[439,169] [450,110] [210,282] [470,110] [324,74] [490,110] [510,110] [390,110] [410,110] [148,165] [430,110] [530,110] [368,352] [271,322] ;
[559,161];[516,348] [530,110] [439,169] [450,110] [470,110] [490,110] [510,110] [390,110] [410,110] [522,74] [430,110] [616,321] ;
[439,169];[530,110] [338,153] [438,362] [450,110] [470,110] [490,110] [510,110] [390,110] [410,110] [522,74] [430,110] [559,161] ;

16
[390,110];[439,169] [450,110] [373,161] [470,110] [490,110] [510,110] [439,256] [513,84] [410,110] [430,110] [530,110] [338,153] [559,161] [380,188] ;
[410,110];[439,169] [450,110] [373,161] [470,110] [490,110] [510,110] [439,256] [513,84] [390,110] [430,110] [530,110] [338,153] [559,161] [380,188] ;
[430,110];[586,236] [439,169] [450,110] [373,161] [470,110] [490,110] [510,110] [439,256] [513,84] [390,110] [410,110] [530,110] [338,153] [559,161] [380,188] ;
[450,110];[586,236] [439,169] [373,161] [470,110] [490,110] [510,110] [439,256] [513,84] [390,110] [410,110] [430,110] [530,110] [338,153] [559,161] [380,188] ;
[470,110];[586,236] [439,169] [450,110] [373,161] [490,110] [510,110] [439,256] [513,84] [390,110] [410,110] [430,110] [530,110] [338,153] [518,74] [559,161] [380,188] ;
[490,110];[586,236] [439,169] [450,110] [373,161] [470,110] [510,110] [439,256] [513,84] [390,110] [410,110] [430,110] [530,110] [338,153] [518,74] [559,161] [380,188] ;
[510,110];[586,236] [439,169] [450,110] [373,161] [470,110] [490,110] [439,256] [513,84] [390,110] [410,110] [430,110] [530,110] [338,153] [518,74] [559,161] [380,188] ;
