[436,500];[427,558] [409,470] [459,533] [409,448] [381,500] ;
[409,448];[465,420] [436,500] [409,470] [347,418] [381,500] ;
[365,218];[431,213] [330,256] [397,191] [357,303] ;
[357,303];[348,342] [330,256] [365,218] [397,309] ;
[381,500];[359,534] [436,500] [409,470] [409,448] ;
[348,342];[330,256] [347,418] [357,303] [397,309] ;
[330,256];[287,256] [348,342] [365,218] [357,303] ;
[477,255];[431,213] [465,338] [517,255] [454,299] ;
[435,108];[508,107] [471,90] [397,122] [416,53] ;
[508,107];[471,90] [555,108] [435,108] ;
[471,90];[508,107] [435,108] [416,53] ;
[555,108];[508,107] [582,138] [581,75] ;
[397,122];[325,108] [397,191] [435,108] ;
[244,431];[184,400] [217,462] [284,432] ;
[557,255];[583,286] [517,255] [582,222] ;
[397,309];[348,342] [357,303] [454,299] ;
[431,213];[477,255] [365,218] [397,191] ;
[454,299];[477,255] [465,338] [397,309] ;
[465,420];[465,378] [503,433] [409,448] ;
[347,418];[348,342] [284,432] [409,448] ;
[465,338];[465,378] [477,255] [454,299] ;
[427,558];[359,534] [436,500] [459,533] ;
[409,470];[436,500] [409,448] [381,500] ;
[559,433];[584,398] [503,433] [590,459] ;
[245,108];[185,73] [285,108] [198,138] ;
[397,191];[431,213] [397,122] [365,218] ;
[247,256];[287,256] [187,224] [204,287] ;
[416,53];[376,53] [471,90] [435,108] ;
[465,378];[465,420] [465,338] ;
[581,75];[555,108] [621,77] ;
[168,437];[184,400] [217,462] ;
[517,255];[477,255] [557,255] ;
[582,222];[622,224] [557,255] ;
[185,73];[169,110] [245,108] ;
[284,432];[347,418] [244,431] ;
[621,77];[631,116] [581,75] ;
[622,224];[582,222] [633,263] ;
[503,433];[465,420] [559,433] ;
[590,459];[636,439] [559,433] ;
[633,263];[622,224] [583,286] ;
[584,398];[624,400] [559,433] ;
[624,400];[584,398] [636,439] ;
[204,287];[172,262] [247,256] ;
[198,138];[169,110] [245,108] ;
[631,116];[582,138] [621,77] ;
[184,400];[168,437] [244,431] ;
[582,138];[631,116] [555,108] ;
[583,286];[557,255] [633,263] ;
[287,256];[330,256] [247,256] ;
[359,534];[427,558] [381,500] ;
[459,533];[436,500] [427,558] ;
[336,53];[376,53] [296,53] ;
[325,108];[285,108] [397,122] ;
[169,110];[185,73] [198,138] ;
[636,439];[624,400] [590,459] ;
[376,53];[336,53] [416,53] ;
[187,224];[172,262] [247,256] ;
[285,108];[325,108] [245,108] ;
[217,462];[168,437] [244,431] ;
[172,262];[187,224] [204,287] ;
[296,53];[336,53] ;
