Total nodes: 60   Frontiers: 5   Edges: 69
Nodes degrees
   [81,164]    6
   [81,174]    5
   (56,88)    5
   [81,184]    5
   (64,464)    5
   [81,204]    4
   [81,194]    4
   (136,435)    3
   [306,122]    2
   [87,208]    2
   [325,122]    2
   [237,179]    2
   [227,179]    2
   [347,151]    2
   [107,208]    2
   [217,179]    2
   [97,208]    2
   [357,151]    2
   [339,146]    2
   [210,185]    2
   [365,145]    2
   [273,147]    2
   [314,85]    2
   [325,102]    2
   [306,102]    2
   [189,206]    2
   [114,215]    2
   [149,207]    2
   [372,138]    2
   [159,207]    2
   [139,207]    2
   [179,207]    2
   [169,207]    2
   [245,175]    2
   [132,210]    2
   [332,139]    2
   [280,140]    2
   [298,134]    2
   [288,134]    2
   [128,229]    2
   [325,82]    2
   [325,112]    2
   [121,222]    2
   [252,168]    2
   [306,112]    2
   [325,132]    2
   [196,199]    2
   [379,131]    2
   [306,132]    2
   [132,220]    2
   [321,78]    2
   [259,161]    2
   [203,192]    2
   [266,154]    2
   [386,124]    2
   [307,92]    2
   [325,92]    2
   [393,117]    1
   (693,82)    1
   (659,203)    1
Max: 6   Min: 1   Avg: 2
Degree computed in 1 ms

Closeness centrality:
   [87,208]    0,0046
   [81,204]    0,0045
   [81,194]    0,00435
   [81,184]    0,00421
   [81,174]    0,00407
   (659,203)    0,00392
   (693,82)    0,00392
   [81,164]    0,00392
   (56,88)    0,00377
   (64,464)    0,00201
   (136,435)    0,00194
Closeness computed in 269748 ms

Betweenness centrality:
   [87,208]    549
   [81,204]    510,28333
   [81,194]    417,56667
   [81,184]    374,18333
   [81,174]    274,46667
   [81,164]    174
   (64,464)    0
   (56,88)    0
   (659,203)    0
   (136,435)    0
   (693,82)    0
Betweenness computed in 3 ms
