Total nodes: 65   Frontiers: 2   Edges: 68
Nodes degrees
   [74,215]    4
   (654,494)    4
   [74,205]    3
   [74,225]    3
   [74,195]    3
   [188,120]    2
   [208,120]    2
   [218,120]    2
   [198,120]    2
   [66,119]    2
   [254,120]    2
   [79,144]    2
   [228,120]    2
   [238,120]    2
   [137,122]    2
   [310,87]    2
   [375,146]    2
   [264,120]    2
   [365,146]    2
   [274,120]    2
   [54,103]    2
   [356,145]    2
   [179,122]    2
   [385,145]    2
   [341,121]    2
   [113,107]    2
   [103,107]    2
   [52,105]    2
   [83,107]    2
   [335,103]    2
   [93,107]    2
   [327,86]    2
   [73,107]    2
   [63,107]    2
   [349,138]    2
   [65,179]    2
   [158,143]    2
   [296,101]    2
   [392,138]    2
   [144,129]    2
   [73,126]    2
   [172,129]    2
   [282,115]    2
   [72,186]    2
   [399,131]    2
   [79,154]    2
   [165,136]    2
   [130,115]    2
   [123,108]    2
   (712,143)    2
   [151,136]    2
   [342,131]    2
   [317,80]    2
   [323,77]    2
   [79,134]    2
   [341,111]    2
   [59,112]    2
   [303,94]    2
   [331,94]    2
   [66,169]    2
   [246,124]    2
   [73,162]    2
   [289,108]    2
   [406,124]    2
   [413,117]    1
Max: 4   Min: 1   Avg: 2
Degree computed in 1 ms

Closeness centrality:
   [72,186]    0.00367
   [74,195]    0.00357
   [74,205]    0.00347
   (712,143)    0.00336
   [74,215]    0.00336
   [74,225]    0.00326
   (654,494)    0.00098
Closeness computed in 224701 ms

Betweenness centrality:
   [72,186]    412
   [74,195]    359
   [74,205]    244
   [74,215]    186
   [74,225]    65
   (654,494)    0
   (712,143)    0
Betweenness computed in 4 ms
