Total nodes: 132   Frontiers: 4   Edges: 131
Nodes degrees
   [336,316]    5
   [465,251]    2
   [663,380]    2
   [563,187]    2
   [466,376]    2
   [570,382]    2
   [570,385]    2
   [462,375]    2
   [468,375]    2
   [664,384]    2
   [473,371]    2
   [469,368]    2
   [570,392]    2
   [473,369]    2
   [663,390]    2
   [472,244]    2
   [570,395]    2
   [556,194]    2
   [664,394]    2
   [664,400]    2
   [473,361]    2
   [663,403]    2
   [473,359]    2
   [570,402]    2
   [570,405]    2
   [474,351]    2
   [575,407]    2
   [585,407]    2
   [594,410]    2
   [549,201]    2
   [479,237]    2
   [470,350]    2
   [664,410]    2
   [656,410]    2
   [540,203]    2
   [530,203]    2
   [576,413]    2
   [463,343]    2
   [481,344]    2
   [601,417]    2
   [655,420]    2
   [481,341]    2
   [660,418]    2
   [583,420]    2
   [497,231]    2
   [622,423]    2
   [507,231]    2
   [612,423]    2
   [632,423]    2
   [638,423]    2
   [628,423]    2
   [618,423]    2
   [487,231]    2
   [592,423]    2
   [602,423]    2
   [488,337]    2
   [498,336]    2
   [508,336]    2
   [509,336]    2
   [499,336]    2
   [489,336]    2
   [522,208]    2
   [608,424]    2
   [456,336]    2
   [642,423]    2
   [652,423]    2
   [648,423]    2
   [437,332]    2
   [447,332]    2
   [474,334]    2
   [466,330]    2
   [456,330]    2
   [446,330]    2
   [436,330]    2
   [426,330]    2
   [416,330]    2
   [428,329]    2
   [408,324]    2
   [422,323]    2
   [515,215]    2
   [346,316]    2
   [366,316]    2
   [356,316]    2
   [508,222]    2
   [376,316]    2
   [386,316]    2
   [401,317]    2
   [394,310]    2
   [422,313]    2
   [422,303]    2
   [426,295]    2
   [549,336]    2
   [518,336]    2
   [539,336]    2
   [529,336]    2
   [519,336]    2
   [527,339]    2
   [537,339]    2
   [547,339]    2
   [557,339]    2
   [567,339]    2
   [558,339]    2
   [457,421]    2
   [433,288]    2
   [440,281]    2
   [463,417]    2
   [572,346]    2
   [565,346]    2
   [459,412]    2
   [470,410]    2
   [572,353]    2
   [572,356]    2
   [465,404]    2
   [444,272]    2
   [473,401]    2
   [451,265]    2
   [572,363]    2
   [467,395]    2
   [570,365]    2
   [473,391]    2
   [458,258]    2
   [570,372]    2
   [467,385]    2
   [570,375]    2
   [458,383]    2
   [459,383]    2
   [473,381]    2
   (264,238)    1
   (194,235)    1
   (141,316)    1
   [570,180]    1
   (172,255)    1
Max: 5   Min: 1   Avg: 1
Degree computed in 35 ms

Closeness centrality:
   [346,316]    1,678
   [336,316]    1,653
   (264,238)    1,642
   (194,235)    1,28
   (172,255)    1,261
   (141,316)    1,231
Closeness computed in 1609 ms

Betweenness centrality:
   [346,316]    761
   [336,316]    645
   (141,316)    0
   (194,235)    0
   (172,255)    0
   (264,238)    0
Betweenness computed in 54 ms
