Total nodes: 42   Frontiers: 14   Edges: 43
Nodes degrees
   [538,328]    9
   [568,295]    6
   [538,318]    3
   [531,321]    3
   (595,387)    3
   [538,308]    3
   [527,313]    3
   [524,203]    2
   [533,187]    2
   [524,253]    2
   [556,287]    2
   [566,287]    2
   [538,288]    2
   [536,288]    2
   [576,287]    2
   [546,288]    2
   [524,223]    2
   [576,291]    2
   [528,294]    2
   [524,243]    2
   [524,263]    2
   [526,194]    2
   [538,298]    2
   [524,213]    2
   [527,303]    2
   [525,273]    2
   [524,233]    2
   [532,280]    2
   (633,315)    1
   (395,248)    1
   (481,407)    1
   (596,426)    1
   (237,309)    1
   (450,426)    1
   (564,400)    1
   (437,362)    1
   [540,180]    1
   (332,360)    1
   (366,242)    1
   (267,264)    1
   (456,390)    1
   (612,376)    1
Max: 9   Min: 1   Avg: 2

Closeness centrality:
   [538,328]    1
   [531,321]    0,985
   [538,318]    0,978
   [527,313]    0,964
   [538,308]    0,952
   [527,303]    0,932
   [538,298]    0,921
   [528,294]    0,901
   [538,288]    0,887
   [536,288]    0,864
   [532,280]    0,851
   [546,288]    0,825
   [525,273]    0,814
   [556,287]    0,786
   [524,263]    0,775
   [566,287]    0,746
   [524,253]    0,736
   [576,287]    0,706
   [524,243]    0,697
   [576,291]    0,69
   [524,233]    0,658
   [568,295]    0,653
   (437,362)    0,632
   [524,223]    0,619
   [524,213]    0,582
   [524,203]    0,545
   [526,194]    0,512
   (595,387)    0,505
   (564,400)    0,499
   [533,187]    0,478
   [540,180]    0,445
   (456,390)    0,41
   (612,376)    0,385
   (481,407)    0,383
   (596,426)    0,377
   (633,315)    0,355
   (450,426)    0,319
   (395,248)    0,073
   (332,360)    0,071
   (366,242)    0,051
   (237,309)    0,012
   (267,264)    0

Betweenness centrality:
   [538,328]    1
   [531,321]    0,798
   [527,313]    0,761
   [538,308]    0,712
   [538,318]    0,706
   [538,298]    0,685
   [527,303]    0,685
   [538,288]    0,655
   [528,294]    0,655
   [536,288]    0,621
   [532,280]    0,621
   [546,288]    0,584
   [525,273]    0,584
   [556,287]    0,542
   [524,263]    0,542
   [524,253]    0,497
   [566,287]    0,497
   [576,287]    0,448
   [524,243]    0,448
   [576,291]    0,395
   [524,233]    0,395
   [568,295]    0,358
   [524,223]    0,339
   [524,213]    0,279
   [524,203]    0,215
   [526,194]    0,147
   [533,187]    0,075
   (633,315)    0
   (395,248)    0
   (481,407)    0
   (595,387)    0
   (596,426)    0
   (237,309)    0
   (450,426)    0
   (564,400)    0
   (437,362)    0
   [540,180]    0
   (332,360)    0
   (366,242)    0
   (267,264)    0
   (456,390)    0
   (612,376)    0
