Total nodes: 40   Frontiers: 12   Edges: 39
Nodes degrees
   [438,266]    8
   [438,256]    4
   [414,169]    3
   [414,149]    3
   [431,188]    3
   [433,107]    2
   [422,185]    2
   [456,201]    2
   [426,114]    2
   [447,197]    2
   [436,88]    2
   [438,246]    2
   [419,121]    2
   [434,97]    2
   [415,178]    2
   [453,212]    2
   [414,129]    2
   [439,193]    2
   [439,226]    2
   [414,159]    2
   [436,78]    2
   [436,58]    2
   [414,139]    2
   [436,68]    2
   [460,205]    2
   [438,236]    2
   [446,219]    2
   (580,236)    1
   (261,251)    1
   (230,129)    1
   (348,399)    1
   (569,290)    1
   (230,82)    1
   (442,431)    1
   (626,94)    1
   (496,430)    1
   (630,113)    1
   [440,50]    1
   (620,272)    1
   (643,302)    1
Max: 8   Min: 1   Avg: 1

Closeness centrality:
   [439,193]    1
   [431,188]    1
   [447,197]    0,996
   [422,185]    0,991
   [456,201]    0,987
   [460,205]    0,98
   [415,178]    0,978
   [414,169]    0,963
   [453,212]    0,962
   [446,219]    0,942
   [414,159]    0,937
   [439,226]    0,917
   [414,149]    0,909
   [438,236]    0,89
   [414,139]    0,875
   [438,246]    0,86
   [414,129]    0,839
   [438,256]    0,828
   [419,121]    0,803
   [438,266]    0,789
   [426,114]    0,766
   [433,107]    0,727
   [434,97]    0,689
   [436,88]    0,653
   [436,78]    0,615
   [436,68]    0,578
   [436,58]    0,541
   [440,50]    0,51
   (580,236)    0,342
   (569,290)    0,306
   (442,431)    0,229
   (496,430)    0,224
   (620,272)    0,216
   (643,302)    0,182
   (230,129)    0,182
   (626,94)    0,154
   (230,82)    0,136
   (261,251)    0,12
   (348,399)    0,054
   (630,113)    0

Betweenness centrality:
   [431,188]    1
   [439,193]    0,955
   [447,197]    0,95
   [422,185]    0,94
   [456,201]    0,94
   [414,169]    0,94
   [415,178]    0,925
   [460,205]    0,925
   [453,212]    0,905
   [446,219]    0,879
   [439,226]    0,849
   [414,159]    0,849
   [414,149]    0,842
   [438,236]    0,814
   [438,246]    0,774
   [438,256]    0,771
   [414,139]    0,729
   [414,129]    0,678
   [419,121]    0,623
   [438,266]    0,616
   [426,114]    0,563
   [433,107]    0,497
   [434,97]    0,427
   [436,88]    0,352
   [436,78]    0,271
   [436,68]    0,186
   [436,58]    0,095
   (580,236)    0
   (261,251)    0
   (230,129)    0
   (348,399)    0
   (569,290)    0
   (230,82)    0
   (442,431)    0
   (626,94)    0
   (496,430)    0
   (630,113)    0
   [440,50]    0
   (620,272)    0
   (643,302)    0
