Total nodes: 66   Frontiers: 3   Edges: 80
Nodes degrees
   (568,113)    15
   [317,227]    4
   [310,220]    4
   [308,211]    3
   [345,181]    3
   [303,213]    3
   [359,147]    3
   [317,209]    3
   [345,171]    3
   [366,140]    3
   [373,133]    3
   [324,202]    3
   [331,195]    3
   [345,161]    3
   [352,154]    3
   [338,188]    3
   [196,147]    2
   [197,147]    2
   [146,145]    2
   [208,121]    2
   [128,217]    2
   [146,185]    2
   [150,137]    2
   [142,203]    2
   [196,137]    2
   [197,137]    2
   [341,119]    2
   [146,175]    2
   [196,177]    2
   [135,210]    2
   [125,211]    2
   [146,195]    2
   [198,131]    2
   [158,131]    2
   [224,112]    2
   [313,115]    2
   [201,128]    2
   [234,112]    2
   [293,115]    2
   [303,115]    2
   [244,112]    2
   [283,115]    2
   [125,191]    2
   [254,112]    2
   [188,131]    2
   [146,165]    2
   [178,131]    2
   [168,131]    2
   [323,115]    2
   [333,115]    2
   [264,112]    2
   [274,112]    2
   [215,114]    2
   [356,132]    2
   [366,132]    2
   [124,220]    2
   [196,167]    2
   [197,167]    2
   [125,201]    2
   [348,126]    2
   [146,155]    2
   [196,157]    2
   [197,157]    2
   (536,184)    2
   [130,183]    1
   (524,275)    1
Max: 15   Min: 1   Avg: 2
Degree computed in 140 ms

Closeness centrality:
   [366,132]    0,00504
   [373,133]    0,00496
   [366,140]    0,00483
   [359,147]    0,00471
   [352,154]    0,00458
   [345,161]    0,00446
   [345,171]    0,00433
   [345,181]    0,00421
   [338,188]    0,00409
   [331,195]    0,00397
   [324,202]    0,00385
   [317,209]    0,00374
   [308,211]    0,00364
   [303,213]    0,00358
   [310,220]    0,00347
   [317,227]    0,00336
   (524,275)    0,00336
   (568,113)    0,00249
   (536,184)    0,0019
Closeness computed in 273107 ms

Betweenness centrality:
   [366,132]    911
   [373,133]    881,5
   [366,140]    800
   [359,147]    765,5
   [352,154]    728,5
   [345,161]    695
   [345,171]    653
   [345,181]    609
   [338,188]    563
   [331,195]    515
   [324,202]    465
   [317,209]    413
   [308,211]    360
   [303,213]    305
   [310,220]    248
   [317,227]    130
   (568,113)    0
   (524,275)    0
   (536,184)    0
Betweenness computed in 41 ms
