Total nodes: 40   Frontiers: 12   Edges: 66
Nodes degrees
   [642,96]    13
   (218,81)    12
   (217,127)    8
   (569,235)    8
   [626,93]    6
   [636,93]    6
   [583,92]    5
   [593,93]    5
   [603,93]    5
   [613,93]    5
   [616,93]    5
   [556,75]    3
   [560,75]    3
   [574,89]    3
   [567,82]    3
   (231,291)    3
   [505,107]    2
   [495,107]    2
   [479,98]    2
   [464,64]    2
   [472,81]    2
   [550,93]    2
   [486,105]    2
   [556,85]    2
   [471,71]    2
   [514,103]    2
   [522,98]    2
   [532,98]    2
   [542,98]    2
   [472,91]    2
   [457,57]    2
   (608,282)    1
   (573,290)    1
   (392,301)    1
   (186,283)    1
   (434,296)    1
   [450,50]    1
   (256,243)    1
   (453,385)    1
   (346,419)    1
Max: 13   Min: 1   Avg: 3

Closeness centrality:
   [574,89]    1
   [567,82]    0,998
   [583,92]    0,997
   [593,93]    0,997
   [603,93]    0,997
   [613,93]    0,997
   [616,93]    0,997
   (569,235)    0,997
   [626,93]    0,997
   [642,96]    0,997
   (346,419)    0,997
   [636,93]    0,997
   [560,75]    0,994
   [556,75]    0,991
   [556,85]    0,977
   [550,93]    0,96
   [542,98]    0,941
   [532,98]    0,919
   [522,98]    0,894
   [514,103]    0,869
   [505,107]    0,841
   [495,107]    0,811
   [486,105]    0,783
   [479,98]    0,752
   [472,91]    0,72
   [472,81]    0,687
   [471,71]    0,655
   [464,64]    0,623
   [457,57]    0,592
   [450,50]    0,561
   (218,81)    0,124
   (217,127)    0,107
   (434,296)    0,038
   (256,243)    0,033
   (231,291)    0,025
   (392,301)    0,016
   (573,290)    0,013
   (453,385)    0,002
   (608,282)    0
   (186,283)    0

Betweenness centrality:
   (569,235)    1
   [583,92]    0,876
   [556,75]    0,82
   [574,89]    0,8
   [556,85]    0,798
   [567,82]    0,798
   [560,75]    0,794
   [550,93]    0,776
   [542,98]    0,749
   [532,98]    0,718
   [522,98]    0,683
   [514,103]    0,643
   [642,96]    0,612
   [505,107]    0,599
   [495,107]    0,55
   [486,105]    0,497
   [479,98]    0,439
   [472,91]    0,377
   [472,81]    0,31
   [471,71]    0,239
   [464,64]    0,164
   [626,93]    0,084
   [457,57]    0,084
   (608,282)    0
   (573,290)    0
   [593,93]    0
   [603,93]    0
   [613,93]    0
   [616,93]    0
   [636,93]    0
   (218,81)    0
   (392,301)    0
   (186,283)    0
   (434,296)    0
   [450,50]    0
   (256,243)    0
   (217,127)    0
   (453,385)    0
   (346,419)    0
   (231,291)    0
