Total nodes: 40   Frontiers: 12   Edges: 94
Nodes degrees
   (626,94)    17
   (230,129)    15
   [438,266]    13
   (230,82)    12
   [438,256]    9
   (569,290)    8
   [438,246]    8
   [438,236]    8
   [453,212]    6
   [439,226]    6
   [460,205]    6
   [446,219]    6
   [456,201]    5
   [447,197]    5
   [439,193]    5
   [431,188]    5
   (580,236)    4
   [422,185]    4
   [414,169]    4
   [415,178]    4
   (643,302)    4
   [414,149]    3
   [414,159]    3
   [433,107]    2
   [426,114]    2
   [436,88]    2
   [419,121]    2
   [434,97]    2
   (442,431)    2
   [414,129]    2
   [436,78]    2
   [436,58]    2
   [414,139]    2
   [436,68]    2
   (261,251)    1
   (348,399)    1
   (496,430)    1
   (630,113)    1
   [440,50]    1
   (620,272)    1
Max: 17   Min: 1   Avg: 4

Closeness centrality:
   [439,193]    1
   [431,188]    1
   [447,197]    0,996
   [422,185]    0,991
   [456,201]    0,987
   [460,205]    0,979
   [415,178]    0,978
   [453,212]    0,964
   [414,169]    0,962
   [446,219]    0,945
   [414,159]    0,936
   [439,226]    0,924
   [414,149]    0,908
   [438,236]    0,897
   [414,139]    0,873
   [438,246]    0,862
   [414,129]    0,837
   [438,256]    0,828
   [419,121]    0,802
   [438,266]    0,79
   [426,114]    0,764
   [433,107]    0,725
   [434,97]    0,686
   [436,88]    0,651
   [436,78]    0,613
   [436,68]    0,575
   [436,58]    0,539
   [440,50]    0,507
   (569,290)    0,368
   (580,236)    0,358
   (442,431)    0,227
   (496,430)    0,223
   (620,272)    0,215
   (230,129)    0,196
   (643,302)    0,195
   (626,94)    0,153
   (230,82)    0,15
   (261,251)    0,119
   (348,399)    0,054
   (630,113)    0

Betweenness centrality:
   [431,188]    1
   [422,185]    0,989
   [414,169]    0,964
   [415,178]    0,963
   [439,193]    0,961
   [447,197]    0,956
   [456,201]    0,945
   [414,159]    0,931
   [460,205]    0,928
   [414,149]    0,923
   [453,212]    0,848
   [446,219]    0,824
   [438,236]    0,818
   [439,226]    0,799
   [414,139]    0,799
   [414,129]    0,744
   [419,121]    0,683
   [426,114]    0,617
   [438,246]    0,617
   [438,256]    0,562
   [438,266]    0,556
   [433,107]    0,545
   [434,97]    0,468
   [436,88]    0,386
   [436,78]    0,298
   [436,68]    0,204
   [436,58]    0,105
   (580,236)    0
   (261,251)    0
   (230,129)    0
   (348,399)    0
   (569,290)    0
   (230,82)    0
   (442,431)    0
   (626,94)    0
   (496,430)    0
   (630,113)    0
   [440,50]    0
   (620,272)    0
   (643,302)    0
