Total nodes: 42   Frontiers: 14   Edges: 80
Nodes degrees
   [528,264]    15
   (565,348)    14
   [528,254]    11
   [528,244]    9
   (332,359)    9
   [527,234]    8
   [530,231]    6
   (456,390)    5
   (366,252)    5
   [548,236]    4
   (589,424)    4
   [545,242]    4
   [555,243]    4
   [540,231]    4
   (470,415)    4
   [500,231]    3
   [510,231]    3
   [535,242]    3
   [520,231]    3
   (565,404)    3
   [528,235]    3
   [523,187]    2
   (440,373)    2
   [480,231]    2
   [490,231]    2
   [522,207]    2
   [470,230]    2
   [507,228]    2
   [497,228]    2
   [487,228]    2
   [477,228]    2
   [522,227]    2
   (465,330)    2
   [517,228]    2
   [522,197]    2
   [522,217]    2
   (373,216)    1
   (414,246)    1
   [530,180]    1
   (265,263)    1
   (213,296)    1
   (561,277)    1
Max: 15   Min: 1   Avg: 3

Closeness centrality:
   [545,242]    1
   [555,243]    0,995
   [535,242]    0,993
   [548,236]    0,99
   [540,231]    0,98
   [528,235]    0,979
   (366,252)    0,968
   [530,231]    0,968
   [527,234]    0,968
   [520,231]    0,962
   [528,244]    0,939
   [510,231]    0,939
   [500,231]    0,91
   [528,254]    0,907
   [490,231]    0,879
   (373,216)    0,872
   (265,263)    0,872
   [528,264]    0,872
   [480,231]    0,845
   [470,230]    0,808
   [477,228]    0,781
   [487,228]    0,741
   [497,228]    0,702
   [507,228]    0,662
   (561,277)    0,638
   [517,228]    0,622
   [522,227]    0,602
   [522,217]    0,562
   [522,207]    0,524
   [522,197]    0,486
   (465,330)    0,468
   [523,187]    0,45
   (565,348)    0,436
   [530,180]    0,416
   (440,373)    0,272
   (456,390)    0,21
   (470,415)    0,193
   (414,246)    0,192
   (565,404)    0,161
   (332,359)    0,127
   (589,424)    0,123
   (213,296)    0

Betweenness centrality:
   [545,242]    1
   [535,242]    0,985
   [528,235]    0,973
   [510,231]    0,97
   [520,231]    0,955
   [555,243]    0,95
   [548,236]    0,945
   [500,231]    0,94
   [540,231]    0,935
   [530,231]    0,923
   (366,252)    0,908
   [490,231]    0,905
   [528,264]    0,902
   [527,234]    0,888
   [480,231]    0,866
   [528,244]    0,848
   [528,254]    0,845
   [470,230]    0,821
   [477,228]    0,771
   [487,228]    0,716
   [497,228]    0,657
   [507,228]    0,592
   [517,228]    0,522
   [522,227]    0,448
   [522,217]    0,368
   [522,207]    0,284
   [522,197]    0,194
   [523,187]    0,1
   (373,216)    0
   (565,348)    0
   (440,373)    0
   (414,246)    0
   (589,424)    0
   (465,330)    0
   (332,359)    0
   [530,180]    0
   (265,263)    0
   (565,404)    0
   (456,390)    0
   (213,296)    0
   (470,415)    0
   (561,277)    0
